date,time,high,residual
2015-01-04,21:30:00,0.938,-0.177
2015-01-04,21:45:00,0.797,-0.173
2015-01-04,22:00:00,0.648,-0.175
2015-01-04,22:15:00,0.539,-0.144
2015-01-04,22:30:00,0.424,-0.143
2015-01-04,22:45:00,0.318,-0.168
2015-01-04,23:00:00,0.255,-0.194
2015-01-04,23:15:00,0.222,-0.232
2015-01-04,23:30:00,0.251,-0.241
2015-01-04,23:45:00,0.306,-0.242
2015-01-05,00:00:00,0.385,-0.224
2015-01-05,00:15:00,0.461,-0.203
2015-01-05,00:30:00,0.489,-0.218
2015-01-05,00:45:00,0.493,-0.245
2015-01-05,01:00:00,0.494,-0.263
2015-01-05,01:15:00,0.504,-0.261
2015-01-05,01:30:00,0.502,-0.26
2015-01-05,01:45:00,0.505,-0.242
2015-01-05,02:00:00,0.513,-0.209
2015-01-05,02:15:00,0.5,-0.192
2015-01-05,02:30:00,0.495,-0.172
2015-01-05,02:45:00,0.481,-0.179
2015-01-05,03:00:00,0.509,-0.174
2015-01-05,03:15:00,0.593,-0.149
2015-01-05,03:30:00,0.691,-0.147
2015-01-05,03:45:00,0.814,-0.152
2015-01-05,04:00:00,0.956,-0.159
2015-01-05,04:15:00,1.117,-0.158
2015-01-05,04:30:00,1.292,-0.143
2015-01-05,04:45:00,1.449,-0.141
2015-01-05,05:00:00,1.6,-0.134
2015-01-05,05:15:00,1.736,-0.127
2015-01-05,05:30:00,1.851,-0.122
2015-01-05,05:45:00,1.938,-0.122
2015-01-05,06:00:00,2.011,-0.112
2015-01-05,06:15:00,2.061,-0.099
2015-01-05,06:30:00,2.072,-0.103
2015-01-05,06:45:00,2.078,-0.096
2015-01-05,07:00:00,2.069,-0.092
2015-01-05,07:15:00,2.046,-0.094
2015-01-05,07:30:00,2.029,-0.081
2015-01-05,07:45:00,2.008,-0.063
2015-01-05,08:00:00,1.935,-0.082
2015-01-05,08:15:00,1.863,-0.084
2015-01-05,08:30:00,1.77,-0.092
2015-01-05,08:45:00,1.656,-0.108
2015-01-05,09:00:00,1.546,-0.109
2015-01-05,09:15:00,1.424,-0.112
2015-01-05,09:30:00,1.277,-0.131
2015-01-05,09:45:00,1.126,-0.142
2015-01-05,10:00:00,0.971,-0.147
2015-01-05,10:15:00,0.837,-0.125
2015-01-05,10:30:00,0.703,-0.108
2015-01-05,10:45:00,0.576,-0.103
2015-01-05,11:00:00,0.467,-0.111
2015-01-05,11:15:00,0.378,-0.141
2015-01-05,11:30:00,0.35,-0.152
2015-01-05,11:45:00,0.361,-0.159
2015-01-05,12:00:00,0.414,-0.145
2015-01-05,12:15:00,0.494,-0.111
2015-01-05,12:30:00,0.534,-0.111
2015-01-05,12:45:00,0.542,-0.13
2015-01-05,13:00:00,0.523,-0.161
2015-01-05,13:15:00,0.52,-0.162
2015-01-05,13:30:00,0.497,-0.172
2015-01-05,13:45:00,0.477,-0.167
2015-01-05,14:00:00,0.451,-0.156
2015-01-05,14:15:00,0.415,-0.146
2015-01-05,14:30:00,0.377,-0.133
2015-01-05,14:45:00,0.335,-0.128
2015-01-05,15:00:00,0.307,-0.127
2015-01-05,15:15:00,0.318,-0.116
2015-01-05,15:30:00,0.367,-0.108
2015-01-05,15:45:00,0.452,-0.105
2015-01-05,16:00:00,0.581,-0.096
2015-01-05,16:15:00,0.728,-0.096
2015-01-05,16:30:00,0.881,-0.107
2015-01-05,16:45:00,1.05,-0.106
2015-01-05,17:00:00,1.233,-0.088
2015-01-05,17:15:00,1.393,-0.082
2015-01-05,17:30:00,1.552,-0.063
2015-01-05,17:45:00,1.672,-0.065
2015-01-05,18:00:00,1.775,-0.061
2015-01-05,18:15:00,1.854,-0.056
2015-01-05,18:30:00,1.9,-0.059
2015-01-05,18:45:00,1.931,-0.055
2015-01-05,19:00:00,1.945,-0.05
2015-01-05,19:15:00,1.952,-0.041
2015-01-05,19:30:00,1.959,-0.023
2015-01-05,19:45:00,1.92,-0.044
2015-01-05,20:00:00,1.876,-0.062
2015-01-05,20:15:00,1.84,-0.059
2015-01-05,20:30:00,1.794,-0.052
2015-01-05,20:45:00,1.74,-0.037
2015-01-05,21:00:00,1.638,-0.054
2015-01-05,21:15:00,1.524,-0.071
2015-01-05,21:30:00,1.418,-0.067
2015-01-05,21:45:00,1.298,-0.064
2015-01-05,22:00:00,1.154,-0.072
2015-01-05,22:15:00,1.023,-0.052
2015-01-05,22:30:00,0.891,-0.025
2015-01-05,22:45:00,0.769,0.012
2015-01-05,23:00:00,0.624,0.011
2015-01-05,23:15:00,0.506,0.006
2015-01-05,23:30:00,0.413,-0.015
2015-01-05,23:45:00,0.359,-0.043
2015-01-06,00:00:00,0.375,-0.044
2015-01-06,00:15:00,0.425,-0.041
2015-01-06,00:30:00,0.51,-0.018
2015-01-06,00:45:00,0.595,0.002
2015-01-06,01:00:00,0.637,-0.014
2015-01-06,01:15:00,0.651,-0.046
2015-01-06,01:30:00,0.669,-0.061
2015-01-06,01:45:00,0.686,-0.067
2015-01-06,02:00:00,0.705,-0.057
2015-01-06,02:15:00,0.701,-0.058
2015-01-06,02:30:00,0.686,-0.056
2015-01-06,02:45:00,0.674,-0.041
2015-01-06,03:00:00,0.663,-0.022
2015-01-06,03:15:00,0.641,-0.024
2015-01-06,03:30:00,0.649,-0.018
2015-01-06,03:45:00,0.69,-0.013
2015-01-06,04:00:00,0.757,-0.02
2015-01-06,04:15:00,0.912,0.023
2015-01-06,04:30:00,1.075,0.045
2015-01-06,04:45:00,1.203,0.013
2015-01-06,05:00:00,1.367,0.009
2015-01-06,05:15:00,1.544,0.021
2015-01-06,05:30:00,1.696,0.016
2015-01-06,05:45:00,1.853,0.03
2015-01-06,06:00:00,2.013,0.065
2015-01-06,06:15:00,2.112,0.061
2015-01-06,06:30:00,2.165,0.035
2015-01-06,06:45:00,2.213,0.03
2015-01-06,07:00:00,2.223,0.011
2015-01-06,07:15:00,2.23,0.01
2015-01-06,07:30:00,2.256,0.043
2015-01-06,07:45:00,2.237,0.042
2015-01-06,08:00:00,2.189,0.022
2015-01-06,08:15:00,2.165,0.035
2015-01-06,08:30:00,2.12,0.039
2015-01-06,08:45:00,2.051,0.034
2015-01-06,09:00:00,1.977,0.039
2015-01-06,09:15:00,1.897,0.052
2015-01-06,09:30:00,1.761,0.021
2015-01-06,09:45:00,1.63,0.007
2015-01-06,10:00:00,1.475,-0.019
2015-01-06,10:15:00,1.267,-0.087
2015-01-06,10:30:00,1.122,-0.078
2015-01-06,10:45:00,0.974,-0.064
2015-01-06,11:00:00,0.824,-0.05
2015-01-06,11:15:00,0.662,-0.059
2015-01-06,11:30:00,0.502,-0.092
2015-01-06,11:45:00,0.394,-0.111
2015-01-06,12:00:00,0.31,-0.15
2015-01-06,12:15:00,0.292,-0.164
2015-01-06,12:30:00,0.345,-0.137
2015-01-06,12:45:00,0.402,-0.124
2015-01-06,13:00:00,0.445,-0.126
2015-01-06,13:15:00,0.446,-0.163
2015-01-06,13:30:00,0.434,-0.2
2015-01-06,13:45:00,0.436,-0.209
2015-01-06,14:00:00,0.417,-0.227
2015-01-06,14:15:00,0.389,-0.241
2015-01-06,14:30:00,0.351,-0.254
2015-01-06,14:45:00,0.318,-0.249
2015-01-06,15:00:00,0.296,-0.226
2015-01-06,15:15:00,0.247,-0.227
2015-01-06,15:30:00,0.223,-0.213
