BRC names,BRC number,Type,Sym
Cuscuta campestris,9204427,h,
Cuscuta epilinum,920588,h,
Cuscuta epithymum,920589,h,
Cuscuta europaea,920590,h,
Cyclamen hederifolium,920591,h,
Cymbalaria muralis,920592,h,
Cymbalaria pallida,920593,h,
Cynodon dactylon,920594,h,
Cynoglossum germanicum,920595,h,
Cynoglossum officinale,920596,h,
Cynosurus cristatus,920597,h,
Cynosurus echinatus,920598,h,
Cyperus fuscus,920599,h,
Cyperus longus,920600,h,
Cypripedium calceolus,920601,h,
Cystopteris dickieana,910602,f,n
Cystopteris fragilis,910603,f,n
Cystopteris montana,910604,f,n
Cytisus scoparius,9201822,h,
Cytisus scoparius subsp.maritimus,9201822.1,h,
Daboecia cantabrica,920605,s,er
Dactylis glomerata,920607,h,
Dactylorhiza fuchsii,920608,h,
Dactylorhiza fuchsii x purpurella (D. x venusta),9202863,h,
Dactylorhiza incarnata,920609,h,
Dactylorhiza lapponica,9202964,h,
Dactylorhiza maculata,920610,h,
Dactylorhiza majalis,920611,h,
Dactylorhiza majalis praetermissa,920612,h,
Dactylorhiza majalis x purpurella,9202877,h,
Dactylorhiza purpurella,920613,h,
Dactylorhiza sp.,9204528,h,
Dactylorhiza traunsteineri,920614,h,
Damasonium alisma,920615,h,
Danthonia decumbens,9201915,h,
Daphne laureola,920617,s,am
Daphne mezereum,920618,s,am
Datura stramonium,920619,h,
Daucus carota,9205474,h,
Daucus carota subsp.carota,920620,h,
Daucus sp.,200001615,h,
Delairea odorata,9204362,h,
Delphinium sp.,9204819,h,
Deschampsia cespitosa,920627,h,
Deschampsia cespitosa alpina,920626,h,
Deschampsia flexuosa,920628,h,
Deschampsia setacea,920629,h,
Descurainia sophia,920630,h,
Dianthus armeria,920631,h,
Dianthus barbatus,920632,h,
Dianthus deltoides,920635,h,
Dianthus gratianopolitanus,920637,h,
Diapensia lapponica,920639,h,
Dichondra micrantha,9205426,h,
Digitalis purpurea,920640,h,
Digitaria ischaemum,920641,h,
Digitaria sanguinalis,920642,h,
Diphasiastrum alpinum,9101213,h,
Diphasiastrum complanatum,9102277,f,
Diplotaxis muralis,920644,h,
Diplotaxis sp.,9204868,h,
Diplotaxis tenuifolia,920645,h,
Dipsacus fullonum,920646.1,h,
Dipsacus pilosus,920647,h,
Dipsacus sativus,920646.2,h,
Dipsacus strigosus,9202635,h,
Doronicum pardalianches,920648,h,
Doronicum plantagineum,920649,h,
Doronicum spp.,9204872,h,
Draba aizoides,920650,h,
Draba incana,920651,h,
Draba muralis,920652,h,
Draba norvegica,920653,h,
Draba sp.,9204873,h,n
Drosera intermedia,920655,h,
Drosera longifolia,920654,h,
Drosera longifolia x rotundifolia (D. x obovata),920656,h,
Drosera rotundifolia,920657,h,
Drosera sp.,9204875,h,
Dryas octopetala,920658,h,
Dryopteris aemula,910660,f,n
Dryopteris affinis,910662,f,n
Dryopteris affinis x filix-mas (D. x complexa),9102588,f,
Dryopteris carthusiana,910666,f,n
Dryopteris carthusiana x dilatata (D. x deweveri),9102584,f,
Dryopteris cristata,910663,f,n
Dryopteris dilatata,910661,f,n
Dryopteris dilatata/carthusiana,200001583,h,
Dryopteris expansa,9102274,f,
Dryopteris filix-mas,910665,f,n
Dryopteris oreades,910659,f,n
Dryopteris remota,9102499,f,
Dryopteris sp.,9104634,f,
Dryopteris submontana,910667,f,n
Ecballium elaterium,9205428,h,
Echinochloa crusgalli,920668,h,
Echium plantagineum,920669,h,
Echium vulgare,920670,h,
Egeria densa,9202551,h,
Elatine hexandra,920671,h,
Elatine hydropiper,920672,h,
Elatine sp.,200001616,h,
Eleocharis acicularis,920673,h,
Eleocharis austriaca,9202267,h,
Eleocharis multicaulis,920674,h,
Eleocharis palustris,920675,h,
Eleocharis parvula,920676,h,
