Column3,Column4,Column5
[lng]) VALUES ('BS24','51.32769','-2.93158')
[lng]) VALUES ('BS25','51.32039','-2.82522')
[lng]) VALUES ('BS26','51.27971','-2.85461')
[lng]) VALUES ('BS27','51.27131','-2.76987')
[lng]) VALUES ('BS28','51.22515','-2.81349')
[lng]) VALUES ('BS29','51.33081','-2.87709')
[lng]) VALUES ('BS3','51.43776','-2.60144')
[lng]) VALUES ('BS30','51.44465','-2.47201')
[lng]) VALUES ('BS31','51.40770','-2.49176')
[lng]) VALUES ('BS32','51.54228','-2.55955')
[lng]) VALUES ('BS34','51.52338','-2.56364')
[lng]) VALUES ('BS35','51.59629','-2.54866')
[lng]) VALUES ('BS36','51.52553','-2.48582')
[lng]) VALUES ('BS37','51.53928','-2.41675')
[lng]) VALUES ('BS39','51.32749','-2.53109')
[lng]) VALUES ('BS4','51.43437','-2.56111')
[lng]) VALUES ('BS40','51.34644','-2.69071')
[lng]) VALUES ('BS41','51.42221','-2.65158')
,,
[lng]) VALUES ('BS48','51.42523','-2.74800')
[lng]) VALUES ('BS49','51.37980','-2.81767')
[lng]) VALUES ('BS5','51.46140','-2.54992')
[lng]) VALUES ('BS6','51.47015','-2.59898')
[lng]) VALUES ('BS7','51.48643','-2.58047')
[lng]) VALUES ('BS8','51.45745','-2.62041')
[lng]) VALUES ('BS9','51.48710','-2.62513')
[lng]) VALUES ('BS99','51.45769','-2.57291')
[lng]) VALUES ('BT1','54.59941','-5.92838')
[lng]) VALUES ('BT10','54.55983','-5.98338')
[lng]) VALUES ('BT11','54.57556','-5.99730')
[lng]) VALUES ('BT12','54.59223','-5.95557')
[lng]) VALUES ('BT13','54.60563','-5.95842')
[lng]) VALUES ('BT14','54.62082','-5.96144')
[lng]) VALUES ('BT15','54.62362','-5.93071')
[lng]) VALUES ('BT16','54.59100','-5.79746')
[lng]) VALUES ('BT17','54.55423','-6.01688')
[lng]) VALUES ('BT18','54.64154','-5.82079')
[lng]) VALUES ('BT19','54.65170','-5.66663')
[lng]) VALUES ('BT2','54.59309','-5.92932')
,,
[lng]) VALUES ('BT20','54.65808','-5.66410')
[lng]) VALUES ('BT21','54.63826','-5.54448')
[lng]) VALUES ('BT22','54.50320','-5.51886')
[lng]) VALUES ('BT23','54.56301','-5.71437')
[lng]) VALUES ('BT24','54.41683','-5.87232')
[lng]) VALUES ('BT25','54.39545','-6.11078')
[lng]) VALUES ('BT26','54.45201','-6.06088')
[lng]) VALUES ('BT27','54.51004','-6.02027')
[lng]) VALUES ('BT28','54.52305','-6.08804')
[lng]) VALUES ('BT29','54.62018','-6.19390')
[lng]) VALUES ('BT3','54.61999','-5.90401')
[lng]) VALUES ('BT30','54.33396','-5.70444')
[lng]) VALUES ('BT31','54.27783','-5.96992')
[lng]) VALUES ('BT32','54.33502','-6.24483')
