"","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree density","plot_richness","ShortNVC"
"227",63,3,0,"W8e",5.655,8.855075,3,3.381139093,10.02,0.805,29,"W8"
"228",63,4,0,"W21a",5.375,6.707506,5,0.536034247,10.26,0.45,28,"W21"
"229",63,5,0,"W21",5.916,9.9723,3,0.398589568,10.3,0.515,25,"W21"
"230",63,6,0,"OV27d",5.227,9.956178,3,2.856885819,10.45,0.62,17,"OV27"
"231",63,7,0,"W6",6.612,1.634257,3,0.219911486,8.72,0.485,25,"W6"
"232",63,8,0,"OV27d",6.426,10.20172,5,0.329867229,9.17,0.32,12,"OV27"
"233",63,9,0,"OV27d",6.592,9.47332,3,3.041454388,11.88,0.61,20,"OV27"
"234",63,10,0,"OV27d",4.824,9.408125,3,1.458877089,19.04,0.215,12,"OV27"
"235",63,11,0,"OV27d",5.36,9.504067,3,1.523672437,18.33,0.19,13,"OV27"
"236",63,12,0,"W10",4.757,8.712096,3,2.717477645,11.86,0.515,34,"W10"
"237",63,13,0,"OV27d",5.761,6.589737,5,1.94582395,26.39,0.215,17,"OV27"
"238",63,14,NA,"",NA,NA,3,NA,NA,NA,0,""
"239",63,15,0,"W10a",5.435,11.01809,3,2.953097094,11.09,0.55,17,"W10"
"240",63,16,0,"W21",6.065,12.3481,8,2.894192232,22.34,0.615,34,"W21"
"241",64,1,0,"MG7A",4.916,18.68396,3,NA,NA,NA,7,"MG7A"
"242",64,2,45,"OV27d",4.604,11.89682,5,0.021598449,8.06,0.05,24,"OV27"
"243",64,3,10,"MG7A",4.952,14.93784,3,NA,NA,NA,15,"MG7A"
"244",64,4,45,"W10d",3.801,20.31208,3,0.592975613,16.43,0.39,7,"W10"
"245",64,5,45,"W10d",3.946,15.02829,5,1.670934593,26.25,0.095,17,"W10"
"246",64,6,0,"W10d",4.059,11.3066,3,NA,NA,NA,8,"W10"
"247",64,7,0,"W10d",3.668,45.53871,5,1.221294144,22.5,0.24,17,"W10"
"248",64,8,0,"W15a",4.033,17.75273,5,1.317505419,29.77,0.3,4,"W15"
"249",64,9,40,"W10c",4.149,16.6608,3,1.152571805,35,0.13,7,"W10"
"250",64,10,NA,"W21",4.407,12.69681,3,0.357356164,12.5,0.09,14,"W21"
"251",64,11,30,"OV27",5.397,10.19327,3,NA,NA,NA,19,"OV27"
"252",64,12,0,"W10d",4.562,10.54266,3,1.835868207,28.5,0.26,12,"W10"
"253",64,13,0,"W10d",3.762,23.63655,3,2.611448893,33.17,0.46,10,"W10"
"254",64,14,45,"W7a",5.91,11.05004,5,2.623229866,27,0.245,19,"W7"
"255",64,15,0,"OV27d",3.995,27.58651,5,1.421570676,26.88,0.195,7,"OV27"
"256",64,16,0,"W10d",4.178,19.38334,5,2.1382465,87.5,0.085,22,"W10"
"257",65,1,NA,"W21",7.245,14.73743,5,0.924806337,14.36,0.415,12,"W21"
"258",65,2,NA,"W8d",7.83,21.96252,5,2.106830573,15.6,0.275,25,"W8"
"259",65,3,NA,"W14",7.066,15.18609,5,1.356775327,23.24,0.705,9,"W14"
"260",65,4,NA,"W10",7.51,14.0303,5,3.188716543,18.5,0.24,22,"W10"
"261",65,5,NA,"OV27d",7.041,19.78786,5,1.030835089,11.65,0.43,18,"OV27"
"262",65,6,NA,"W8e",7.009,14.84375,5,3.296708791,18.41,0.525,19,"W8"
"263",65,7,NA,"W10a",7.807,18.74788,5,3.275110341,18.43,0.43,11,"W10"
"264",65,8,NA,"OV27d",6.755,16.9837,5,1.87317462,18.02,0.45,13,"OV27"
"265",65,9,NA,"OV27d",7.723,18.35581,5,2.744966581,20.89,0.515,17,"OV27"
"266",65,10,NA,"W16b",7.524,18.68653,5,5.167919915,13.95,0.435,4,"W16"
"267",65,11,NA,"W21b",7.71,17.5198,5,1.735729941,12.74,0.42,17,"W21"
"268",65,12,NA,"OV27d",7.232,25.13789,5,4.054618019,22.05,0.43,12,"OV27"
"269",65,13,NA,"OV27d",8.078,17.54498,5,2.591813939,18.09,0.265,12,"OV27"
"270",65,14,NA,"OV27d",8.087,17.10063,5,2.411172362,16.01,0.5,12,"OV27"
"271",65,15,NA,"W8d",7.763,10.70326,5,2.784236489,16.33,0.415,20,"W8"
