BRCcode,Taxon name,P1,LF1,W,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S
920362,Carex depauperata,p,hc,h,4.1,15.8,823,3,5,4,7,4,0
920363,Carex diandra,p,hc,h,3.6,14.4,1042,11,8,9,5,3,0
920364,Carex digitata,p,hc,h,3.3,15.5,859,"1, 16",5,5,8,4,0
920365,Carex dioica,p,hc,h,2.7,13.2,1404,11,8,9,6,2,0
920366,Carex distans,p,hc,h,4.3,15.0,1039,21,8,6,7,5,3
920367,Carex disticha,p,hc,h,3.6,15.0,910,11,7,8,6,4,0
920368,Carex divisa,p,hc,h,4.4,16.4,727,6,8,7,7,6,3
9204520,Carex divulsa,p,hc,h,4.2,15.8,844,"3, 6, 7",7,4,7,6,0
920370,Carex echinata,p,hc,h,3.4,14.1,1207,"11, 12, 14",8,8,3,2,0
920371,Carex elata,p,Hy,h,3.8,15.2,903,11,7,10,7,5,0
920372,Carex elongata,p,hc,h,3.6,15.5,899,1,5,8,6,6,0
920373,Carex ericetorum,p,hc,h,2.9,15.3,801,7,8,4,7,1,0
920374,Carex extensa,p,hc,h,4.5,14.5,1228,21,8,7,7,5,4
920375,Carex filiformis,p,hc,h,3.5,16.3,708,"6, 7",7,7,8,5,0
920376,Carex flacca,p,hc,h,3.5,14.5,1104,"7, 11",7,5,6,2,0
920378,Carex flava,p,hc,h,3.2,14.7,1585,"1, 11",7,9,8,2,0
920381,Carex hirta,p,hc,h,3.7,15.0,963,6,7,7,7,6,0
920382,Carex hostiana,p,hc,h,3.2,13.8,1290,11,8,9,6,2,0
920383,Carex humilis,p,hc,h,3.9,16.1,845,7,8,3,8,2,0
920384,Carex lachenalii,p,hc,h,-1.1,10.4,1948,"11, 15",8,7,4,1,0
920385,Carex laevigata,p,hc,h,3.6,14.4,1240,"1, 16",5,8,5,4,0
920386,Carex lasiocarpa,p,Hy,h,3.1,13.6,1383,11,8,10,6,3,0
920388,Carex limosa,p,Hy,h,3.3,13.4,1431,"11, 12",8,10,4,1,0
920403,Carex magellanica,p,hc,h,1.7,12.8,1808,12,9,9,2,1,0
