SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names
72,11,9204446,9,1,2,Quercus seedling/sp
72,12,9204446,4,2,2,Quercus seedling/sp
72,12,9204446,5,4,2,Quercus seedling/sp
72,12,9204446,6,3,2,Quercus seedling/sp
72,12,9204446,7,1,2,Quercus seedling/sp
72,12,9204445,7,2,2,Betula seedling/sp
72,13,9204446,6,1,2,Quercus seedling/sp
72,13,9204446,7,1,2,Quercus seedling/sp
72,13,9204446,9,1,2,Quercus seedling/sp
72,14,920557,1,4,2,Corylus avellana
72,14,920810,2,1,2,Fagus sylvatica
72,14,920569,2,2,2,Crataegus monogyna
72,14,920557,2,14,2,Corylus avellana
72,14,920557,3,2,2,Corylus avellana
72,14,920569,4,1,2,Crataegus monogyna
72,14,920810,7,1,2,Fagus sylvatica
72,14,9204445,7,1,2,Betula seedling/sp
72,14,9204446,8,1,2,Quercus seedling/sp
72,14,920810,14,1,2,Fagus sylvatica
72,15,9204446,2,1,2,Quercus seedling/sp
72,15,9204446,3,2,2,Quercus seedling/sp
72,15,9204446,4,3,2,Quercus seedling/sp
72,15,9204446,5,1,2,Quercus seedling/sp
72,15,9204446,6,1,2,Quercus seedling/sp
72,16,9204445,9,1,2,Betula seedling/sp
72,16,9204445,10,1,2,Betula seedling/sp
73,1,9204446,3,1,2,Quercus seedling/sp
73,1,9204446,6,1,2,Quercus seedling/sp
73,1,9204446,8,1,2,Quercus seedling/sp
73,1,9204446,11,1,2,Quercus seedling/sp
73,1,9204446,14,1,2,Quercus seedling/sp
73,2,9201470,5,1,2,Picea abies
73,2,9204407,5,1,2,Nothofagus nervosa
73,2,9204407,6,1,2,Nothofagus nervosa
73,2,9204407,7,2,2,Nothofagus nervosa
73,2,9204407,10,1,2,Nothofagus nervosa
73,3,9204446,6,2,2,Quercus seedling/sp
73,3,9204546,11,1,2,Pinus sp./seedling
73,4,9201616,1,14,2,Prunus padus
73,4,9201616,3,2,2,Prunus padus
73,4,9201616,4,2,2,Prunus padus
73,4,92077,8,1,2,Alnus glutinosa
73,4,92077,10,1,2,Alnus glutinosa
73,5,920810,1,2,2,Fagus sylvatica
73,5,9204445,1,2,2,Betula seedling/sp
73,5,9204446,1,2,2,Quercus seedling/sp
73,5,920557,1,24,2,Corylus avellana
73,5,9201611,2,1,2,Prunus avium
73,5,9201616,2,2,2,Prunus padus
73,5,9201023,3,1,2,Ilex aquifolium
73,5,9204446,4,1,2,Quercus seedling/sp
73,5,9204446,5,1,2,Quercus seedling/sp
73,5,9204446,7,1,2,Quercus seedling/sp
73,5,9204446,9,1,2,Quercus seedling/sp
73,5,9204446,12,1,2,Quercus seedling/sp
73,6,9204446,8,2,2,Quercus seedling/sp
73,6,9204446,10,1,2,Quercus seedling/sp
73,7,9204445,2,1,2,Betula seedling/sp
73,7,920810,5,1,2,Fagus sylvatica
73,7,9204445,5,1,2,Betula seedling/sp
73,7,9204445,7,1,2,Betula seedling/sp
73,7,9204446,7,1,2,Quercus seedling/sp
73,7,9204546,7,1,2,Pinus sp./seedling
73,7,920810,8,1,2,Fagus sylvatica
73,8,9204546,4,2,2,Pinus sp./seedling
73,8,9204446,5,2,2,Quercus seedling/sp
73,8,9204546,5,2,2,Pinus sp./seedling
73,8,9204546,6,2,2,Pinus sp./seedling
73,8,9204546,7,1,2,Pinus sp./seedling
73,10,9204446,1,2,2,Quercus seedling/sp
73,10,9204445,1,4,2,Betula seedling/sp
73,10,9201788,1,48,2,Salix caprea
73,11,920557,1,2,2,Corylus avellana
73,11,9204446,4,1,2,Quercus seedling/sp
73,11,9204446,5,1,2,Quercus seedling/sp
73,11,9204446,6,1,2,Quercus seedling/sp
73,11,9204446,9,1,2,Quercus seedling/sp
73,12,9204446,5,2,2,Quercus seedling/sp
73,12,9204446,7,1,2,Quercus seedling/sp
73,12,9204446,8,1,2,Quercus seedling/sp
73,13,9204446,5,2,2,Quercus seedling/sp
73,13,9204446,6,3,2,Quercus seedling/sp
73,13,9204446,7,1,2,Quercus seedling/sp
73,14,9204446,5,2,2,Quercus seedling/sp
73,14,9204446,6,4,2,Quercus seedling/sp
73,15,9204446,2,1,2,Quercus seedling/sp
73,15,9204446,5,1,2,Quercus seedling/sp
73,15,9204446,6,1,2,Quercus seedling/sp
73,15,9204446,7,2,2,Quercus seedling/sp
73,16,9204446,4,1,2,Quercus seedling/sp
73,16,9204446,5,1,2,Quercus seedling/sp
73,16,9204445,5,2,2,Betula seedling/sp
73,16,9204445,6,1,2,Betula seedling/sp
73,16,9204446,6,1,2,Quercus seedling/sp
73,16,9204445,7,1,2,Betula seedling/sp
95,1,9205,1,54,2,Acer pseudoplatanus
95,1,9205,2,1,2,Acer pseudoplatanus
95,1,9204446,2,1,2,Quercus seedling/sp
95,1,9204445,2,2,2,Betula seedling/sp
95,1,9205,3,1,2,Acer pseudoplatanus
95,1,9204445,3,4,2,Betula seedling/sp
95,1,9204445,4,2,2,Betula seedling/sp
95,1,9204442,5,1,2,Larix sp.
95,1,9204442,6,1,2,Larix sp.
95,2,920569,1,2,2,Crataegus monogyna
95,2,920841,1,2,2,Fraxinus excelsior (c)
95,2,9201960,1,2,2,Sorbus aucuparia
95,2,9204446,1,2,2,Quercus seedling/sp
95,2,9201023,1,5,2,Ilex aquifolium
95,2,920841,1,6,2,Fraxinus excelsior (c)
95,2,9201960,1,9,2,Sorbus aucuparia
95,2,9205,1,11,2,Acer pseudoplatanus
95,2,9201023,1,24,2,Ilex aquifolium
