Site,Plot,alpha,cover,allelos,lba,som,pH,amtrees,amcover,nvc,ms,flag
59,7,28,88,2,1.022981108,17.47364,5.223,31.41592654,15,OV26,am,o
59,9,34,114,0,0.021598449,27.81425,5.216,0,0,S4,am,w
59,10,25,56.5,0,0.801106127,18.9352,5.02,0,1,OV26,am,o
59,11,29,78,,1.411753199,10.45594,4.653,0,,W4,em,t
59,12,22,110.5,0,0.563523182,24.10705,5.376,0,1,S4,am,w
59,13,22,68,0,0.16689711,7.490252,4.957,0,1,S4,am,w
59,14,19,49.5,0,0.447676953,43.57215,4.625,0,1,S4,am,w
59,15,20,73.5,1,2.344413518,41.60937,4.338,133.5176878,4,W2,d,w
59,16,25,81.5,,,10.86412,5.004,,,OV26,am,o
60,1,3,1.5,8,2.833323874,56.9,6.249,486.9468613,4,W21,am,o
60,2,7,5,0,,39.7,6.331,,8,W13,am,t
60,3,2,1,11,3.257438883,35.2,7.04,636.1725124,4,W16,em,t
60,4,10,7,5,1.24878308,74.2,4.541,208.1305133,12,W8,am,t
60,5,5,2.5,5,3.290818305,25.9,6.519,251.3274123,5,W10,em,t
60,6,24,50.5,3,0.206167018,78.4,5.77,133.5176878,17,W10,em,t
60,7,2,1,2,1.146681319,57.4,5.192,164.9336143,5,W8,am,t
60,8,1,0.5,9,1.050470044,35.7,6.484,451.603944,1,OV27,am,o
60,9,13,23,6,1.46673107,14.6,6.693,243.4734307,20,W10,em,t
60,10,14,30.5,5,1.142754328,25.6,5.662,215.9844949,54,W10,em,t
60,11,11,30,3,3.015928947,29.8,6.432,208.1305133,19,W10,em,t
60,12,16,36.5,9,4.488550504,16.3,5.623,541.9247327,9,W8,am,t
60,13,8,13.5,9,1.297870465,28.6,6.339,314.1592654,4,W10,em,t
60,14,18,38,6,1.533489914,55.6,6.892,267.0353756,7,W10,em,t
60,15,15,37.5,0,0.657770962,34,6.902,58.90486225,85,W10,em,t
60,16,9,11.5,7,0.514435797,49.4,6.474,373.0641276,9,W21,am,o
61,1,20,82.5,0,0.614574063,11.75327,4.308,7.853981634,62,W10,em,t
61,2,11,103.5,0,0.003926991,8.103904,4.934,0,2,W4,em,t
61,3,14,36,1,0.074612826,13.13863,5.99,0,40,OV27,am,o
61,4,14,91.5,0,0.009817477,9.376961,4.854,0,83,OV27,am,o
61,5,16,14,0,0.278816348,13.40749,4.484,0,81,W10,em,t
61,6,12,96,0,0.233655954,9.222495,5.235,0,11,W4,em,t
61,7,6,26.5,0,0.712748833,28.14355,4.234,0,3,W10,em,t
61,8,24,57.5,0,1.511891465,14.77562,5.055,353.4291735,4,W10,em,t
61,9,17,72,0,0.877682448,17.5746,4.027,0,23,W10,em,t
61,10,11,39,0,1.105447915,17.92118,3.949,0,81,W10,em,t
61,11,17,122,0,0.007853982,22.91759,4.363,62.83185307,22,W10,em,t
61,12,14,120.5,0,0.09424778,23.70974,4.255,0,21,W10,em,t
61,13,20,44,0,0.822704576,7.709867,4.703,0,3,W10,em,t
61,14,5,12,1,0.009817477,9.725954,4.657,62.83185307,83,W14,em,t
61,15,7,74,0,0.007853982,14.23664,4.717,7.853981634,12,W16,em,t
61,16,18,69,0,0.02552544,19.58325,4.628,0,1,W10,em,t
62,1,7,17,0,1.645409152,15.8161,4.112,353.4291735,0,W10,em,t
62,2,6,151,0,,16.93454,4.07,,1,W10,em,t
62,3,21,116,1,0.918915851,23.317,5.531,51.05088062,13,W10,em,t
62,4,9,72,0,2.026327262,14.36698,4.232,223.8384766,3,W10,em,t
62,5,5,46,2,0.918915851,83.72573,3.303,54.97787144,1,W16,em,t
62,6,12,167.5,,,12.67912,5.446,,,OV27,am,o
62,7,11,107.5,0,0.512472302,18.12749,3.917,0,21,W10,em,t
62,8,13,212,0,0.634209017,18.53968,5.276,0,11,W10,em,t
62,9,7,77,0,0.669551934,19.3151,3.913,51.05088062,3,W16,em,t
62,10,15,88.5,,,10.0293,6.004,,,MG7,am,o
