Site,Plot,Nest,cover,Amalgams,Yr
2,14,1,10.0,9201728.0,1
2,15,4,100.0,920404.0,1
2,15,3,50.0,920412.0,1
2,15,2,100.0,920421.0,1
2,15,5,50.0,920432.0,1
2,15,4,100.0,920477.0,1
2,15,3,100.0,920627.0,1
2,15,1,100.0,920628.0,1
2,15,2,100.0,920952.0,1
2,15,3,50.0,9101619.0,1
2,15,1,50.0,9201023.0,1
2,15,3,100.0,9201067.0,1
2,15,1,100.0,9201188.0,1
2,15,1,100.0,9201221.0,1
2,15,1,5.0,9201728.0,1
2,15,3,50.0,9201748.0,1
2,15,1,100.0,9201951.0,1
2,15,5,50.0,9202039.0,1
2,15,4,50.0,9202126.0,1
2,15,1,5.0,9204445.0,1
2,16,1,100.0,920952.0,1
2,16,1,100.0,9101619.0,1
2,16,4,50.0,9201188.0,1
2,16,1,100.0,9201728.0,1
2,16,4,50.0,9204446.0,1
3,1,4,50.0,9205.0,1
3,1,2,50.0,92035.0,1
3,1,2,50.0,920100.0,1
3,1,2,50.0,920328.0,1
3,1,1,5.0,920477.0,1
3,1,2,50.0,920520.0,1
3,1,5,50.0,920607.0,1
3,1,1,100.0,920640.0,1
3,1,1,50.0,920983.0,1
3,1,3,50.0,920984.0,1
3,1,2,50.0,2000070.0,1
3,1,1,80.0,9101619.0,1
3,1,1,50.0,9201705.0,1
3,1,1,10.0,9201728.0,1
3,1,1,50.0,9201815.0,1
3,1,1,50.0,9201954.0,1
3,1,2,50.0,9202012.0,1
3,1,1,100.0,9202046.0,1
3,1,3,50.0,200001583.0,1
3,1,1,100.0,200001595.0,1
3,1,1,100.0,200001670.0,1
3,2,1,50.0,9205.0,1
3,2,5,50.0,92036.0,1
3,2,1,100.0,92039.0,1
3,2,3,50.0,920150.0,1
3,2,2,50.0,920169.0,1
3,2,5,50.0,920272.0,1
3,2,2,50.0,920477.0,1
3,2,2,50.0,920503.0,1
3,2,2,100.0,920515.0,1
3,2,4,50.0,920522.0,1
3,2,2,50.0,920572.0,1
3,2,3,50.0,920607.0,1
3,2,4,50.0,920640.0,1
3,2,4,50.0,920692.0,1
3,2,1,100.0,920695.0,1
3,2,1,100.0,920873.0,1
3,2,2,50.0,920918.0,1
3,2,2,100.0,920931.0,1
3,2,4,50.0,920968.0,1
3,2,1,100.0,920983.0,1
3,2,1,100.0,920984.0,1
3,2,2,5.0,9101619.0,1
3,2,2,50.0,9201104.0,1
3,2,2,100.0,9201194.0,1
3,2,2,50.0,9201259.0,1
3,2,1,50.0,9201487.0,1
3,2,1,100.0,9201504.0,1
3,2,1,100.0,9201507.0,1
3,2,1,100.0,9201660.0,1
3,2,1,70.0,9201728.0,1
3,2,4,50.0,9201735.0,1
3,2,1,50.0,9201748.0,1
3,2,2,50.0,9201867.0,1
3,2,4,50.0,9201954.0,1
3,2,1,50.0,9202005.0,1
3,2,1,10.0,9202126.0,1
3,2,3,50.0,9202168.0,1
3,3,3,50.0,9205.0,1
3,3,4,50.0,920477.0,1
3,3,2,50.0,920628.0,1
