BRC names,BRC number,Woody
Campylopus paradoxus,820139,
Campylopus polytrichoides,820673,
Campylopus pyriformis,820142,
Campylopus pyriformis/flexuosa,20000492,
Campylopus schimperi,820144,
Campylopus schwarzii,820145,
Campylopus setifolius,820143,
Campylopus shawii,820146,
Campylopus sp.,8201110,
Campylopus subulatus,820147,
Campylostelium saxicola,820148,
Capsella bursa-pastoris,920325,
Capsella rubella,920326,
Cardamine amara,920327,
Cardamine bulbifera,920625,
Cardamine flexuosa,920328,
Cardamine hirsuta,920329,
Cardamine hirsuta/flexuosa,2000070,
Cardamine impatiens,920330,
Cardamine sp.,9204771,
Carduus crispus,920335,
Carduus nutans,920337,
Carduus sp.,9204774,
Carduus tenuiflorus,920339,
Carex acuta,920340,
Carex acutiformis,920341,
Carex appropinquata,920342,
Carex aquatilis,920343,
Carex arenaria,920344,
Carex atrata,920345,
Carex atrofusca,920346,
Carex bigelowii,920349,
Carex binervis,920350,
Carex buxbaumii,920352,
Carex capillaris,920353,
Carex caryophylla/pilulifera,200001536,
Carex caryophyllea,920355,
Carex chordorrhiza,920356,
Carex curta,920359,
Carex davalliana,920360,
Carex depauperata,920362,
Carex diandra,920363,
Carex digitata,920364,
Carex dioica,920365,
Carex distans,920366,
Carex disticha,920367,
Carex divisa,920368,
Carex divulsa,9204520,
Carex divulsa subsp.leersii,920406,
Carex echinata,920370,
Carex elata,920371,
Carex elongata,920372,
Carex ericetorum,920373,
Carex extensa,920374,
Carex filiformis,920375,
Carex flacca,920376,
Carex flava agg.,920377,
Carex flava sens.str.,920378,
Carex hirta,920381,
Carex hostiana,920382,
Carex hostiana x viridula (C. x fulva),9202609,
Carex humilis,920383,
Carex lachenalii,920384,
Carex laevigata,920385,
Carex lasiocarpa,920386,
Carex lepidocarpa ssp. scottica,920387,
Carex limosa,920388,
Carex magellanica,920403,
Carex maritima,920389,
Carex microglochin,920390,
Carex montana,920391,
Carex muricata,920398,
Carex nigra,920393,
Carex norvegica,920394,
Carex ornithopoda,920395,
Carex otrubae,920396,
Carex ovalis,920397,
Carex pallescens,920399,
Carex panicea,920400,
Carex paniculata,920401,
Carex pauciflora,920402,
Carex pendula,920404,
Carex pilulifera,920405,
Carex pseudocyperus,920407,
Carex pulicaris,920408,
Carex pulicaris/serotina,2000087,
Carex punctata,920409,
Carex rariflora,920410,
Carex recta,920411,
Carex remota,920412,
Carex riparia,920413,
Carex rostrata,920414,
Carex rupestris,920415,
Carex saxatilis,920417,
Carex seedling/sp,9204583,
Carex spicata,920357,
Carex strigosa,920420,
Carex sylvatica,920421,
Carex trinervis,920422,
Carex vaginata,920423,
Carex vesicaria,920424,
Carex viridula,9207117,
Carex viridula subsp.brachyrrhyncha,920387,
Carex viridula subsp.oedocarpa,920361,
Carex viridula subsp.viridula,9207118,
Carex vulpina,920425,
Carex vulpinoidea,920426,
Carex x grahamii (C. saxatilis x vesicaria),920380,
Carlina vulgaris,920427,
Carpinus betulus,920428,
Carpobrotus edulis,920429,
Carum carvi,920430,
Carum verticillatum,920431,
Castanea sativa,920432,
Catabrosa aquatica,920433,
Catapodium marinum,920434,
Catapodium rigidum,920435,
Catapodium sp.,200001591,
Catoscopium nigritum,820149,
Cedrus sp.,200001611,
Centaurea aspera,920438,
Centaurea calcitrapa,920439,
Centaurea cyanus,920440,
Centaurea debeauxii,920444,
Centaurea jacea,920441,
Centaurea nigra,920444,
Centaurea scabiosa,920446,
Centaurea solstitialis,920447,
Centaurea sp.,9204785,
Centaurium erythraea,9205486,
Centaurium erythraea capitatum,920448,
Centaurium latifolium,920449,
Centaurium littorale,920450,
Centaurium pulchellum,920453,
Centaurium scilloides,920452,
Centaurium sp.,200001685,
Centaurium tenuiflorum,920454,
Centranthus ruber,920455,
Cephalanthera damasonium,920457,
Cephalanthera longifolia,920458,
Cephalanthera rubra,920459,
Cephalozia ambigua,810713,
Cephalozia bicuspidata,810714,
Cephalozia bicuspidata var.lammersiana,810714,
Cephalozia catenulata,810715,
Cephalozia connivens,810716,
Cephalozia hibernica,810717,
Cephalozia leucantha,810718,
Cephalozia loitlesbergeri,810719,
Cephalozia lunulifolia,810721,
Cephalozia macrostachya,810720,
Cephalozia pleniceps,810722,
Cephalozia sp.,8101276,
Cephaloziella baumgartneri,810723,
Cephaloziella calyculata,810724,
Cephaloziella dentata,810725,
Cephaloziella divaricata,810732,
Cephaloziella elachista,810726,
Cephaloziella hampeana,810727,
Cephaloziella integerrima,810728,
Cephaloziella massalongi,810729,
Cephaloziella rubella,810731,
Cephaloziella sp.,8101277,
Cephaloziella spinigera,810734,
Cephaloziella stellulifera,810733,
Cephaloziella turneri,810735,
Cerastium alpinum,920460,
Cerastium alpinum x fontanum (C. x symei),9202693,
Cerastium arcticum,920465,
Cerastium arvense,920461,
Cerastium brachypetalum,920463,
Cerastium cerastoides,920464,
Cerastium diffusum,920462,
Cerastium fontanum,920467,
Cerastium glomeratum,920466,
Cerastium nigrescens,920465,
Cerastium pumilum,920468,
