,BRC,species,preneation,life form,woodiness,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S,ms,flag
339,920400,Carex panicea,p,hc,h,3.5,14.3,1139,11,8,8,4,2,0,,0
403,920401,Carex paniculata,p,hc,h,3.7,14.9,1036,"1, 11",6,9,6,6,0,,0
78,920404,Carex pendula,p,hc,h,3.9,15.3,928,"1, 14",5,8,7,6,0,,0
389,920405,Carex pilulifera,p,hc,h,3.3,14.1,1197,8,7,5,3,2,0,,0
463,920407,Carex pseudocyperus,p,hc,h,3.8,16,754,11,7,9,6,6,0,,0
391,920408,Carex pulicaris,p,hc,h,3.3,13.9,1239,"11, 16",8,7,5,2,0,,0
680,2000087,Carex pulicaris/serotina,p,hc,h,,,,,,,,,,,0
46,920412,Carex remota,p,hc,h,3.7,14.8,1063,"1, 14",4,8,6,6,0,,0
676,920413,Carex riparia,p,hc,h,3.9,15.7,814,"11, 14",7,9,7,7,0,,0
436,920414,Carex rostrata,p,Hy,h,3.3,14,1193,11,8,10,4,2,0,,0
568,9204583,Carex seedling/sp,p,hc,h,,,,,,,,,,,0
209,920420,Carex strigosa,p,hc,h,3.8,15.7,841,"1, 14",3,8,7,6,0,,0
48,920421,Carex sylvatica,p,hc,h,3.6,14.8,1050,1,4,5,6,5,0,,0
781,920423,Carex vaginata,p,hc,h,-0.1,11.3,1904,15,7,6,6,3,0,,0
428,920424,Carex vesicaria,p,Hy,h,3.3,14.6,1072,11,8,10,5,4,0,,0
670,9207117,Carex viridula,p,hc,h,3.5,14.2,1169,"11, 14, 19",8,8,6,2,0,,0
306,920361,Carex viridula subsp.oedocarpa,p,hc,h,3.4,14.2,1194,14,8,8,4,2,0,,0
671,9207118,Carex viridula subsp.viridula,p,hc,h,3.8,13.9,1278,"11, 19",8,7,7,3,1,,0
416,920427,Carlina vulgaris,b,hc,h,3.9,15.3,947,7,8,4,7,2,0,,0
302,920428,Carpinus betulus,p,Ph,wt,3.6,15.4,895,1,4,5,5,6,0,em,2
446,920431,Carum verticillatum,p,hc,h,3.4,13.9,1578,"11, 14",7,8,4,2,0,,0
10,920432,Castanea sativa,p,Ph,wt,3.6,15.2,950,1,5,5,5,5,0,em,0
662,920435,Catapodium rigidum,a,Th,h,4.1,15.5,878,"7, 17",8,3,7,2,0,,0
83,920444,Centaurea nigra,p,hc,h,3.6,14.5,1093,"6, 7",7,5,6,5,0,,0
281,9205486,Centaurium erythraea,b,hc,h,4,15.1,980,"7, 19",8,5,6,3,0,,0
717,920455,Centranthus ruber,p,Ch,h,4,15.5,896,"3, 16, 17, 18",8,4,8,5,1,,0
566,920457,Cephalanthera damasonium,p,Gn,h,3.7,16.2,763,1,4,4,7,5,0,,0
312,920458,Cephalanthera longifolia,p,Gn,h,3.7,14.7,1166,1,5,4,7,4,0,,0
34,920467,Cerastium fontanum,p,Ch,h,3.5,14.4,1106,"5, 6",7,5,5,4,0,,0
288,920466,Cerastium glomeratum,a,Th,h,3.6,14.5,1079,"3, 5",7,5,6,5,0,,0
595,9204524,Cerastium sp.,a,Th,h,,,,,,,,,,,0
381,920555,Ceratocapnos claviculata,a,Th,h,3.3,14.6,1111,"1, 9",5,5,4,5,0,,0
466,920471,Ceratophyllum demersum,p,Hy,h,3.7,15.8,770,13,7,12,7,7,1,,0
274,920476,Chaerophyllum temulum,b,hc,h,3.6,15.4,890,3,6,5,7,7,0,,0
587,920119,Chamaemelum nobile,p,hc,h,4.6,15.7,990,8,8,7,5,5,0,,0
63,920477,Chamerion angustifolium,p,Gn,h,3.4,14.5,1075,"3, 17",6,5,6,5,0,,0
569,920481,Chenopodium album agg.,a,Th,h,3.7,14.8,1018,4,7,5,7,7,1,,0
521,200001582,Chenopodium album/polyspermum,a,Th,h,,,,,,,,,,,0
338,920505,Chrysosplenium alternifolium,p,hc,h,2.8,14.4,1042,"11, 14",5,8,6,6,0,,0
248,920506,Chrysosplenium oppositifolium,p,Ch,h,3.4,14.3,1168,"1, 14",5,9,5,5,0,,2
430,920510,Cicuta virosa,p,Hy,h,3.5,14.8,926,"11, 13, 14",7,10,7,5,0,,0
30,920513,Circaea lutetiana,p,Gn,h,3.7,14.9,1041,1,4,6,7,6,0,,0
536,820157,Cirriphyllum piliferum,p,moss,moss,,,,,,,,,,,0
64,920515,Cirsium arvense,p,Gn,h,3.6,14.5,1092,"3, 4, 5, 6",8,6,7,6,0,,0
393,920518,Cirsium heterophyllum,p,hc,h,2,12.9,1476,"6, 16",7,6,6,5,0,,0
79,920520,Cirsium palustre,b,hc,h,3.5,14.5,1105,"11, 14",7,8,5,4,0,,0
691,9204807,Cirsium sp.,b,hc,h,,,,,,,,,,,0
113,920522,Cirsium vulgare,b,hc,h,3.5,14.5,1103,"3, 5, 6, 7",7,5,6,6,0,,0
763,5505338,Cladonia cf.coccifera,p,lichen,lichen,,,,,,,,,,,0
511,5502874,Cladonia coniocraea,p,lichen,lichen,,,,,,,,,,,0
762,5502912,Cladonia pyxidata,p,lichen,lichen,,,,,,,,,,,0
730,5505962,Cladonia sp.,p,lichen,lichen,,,,,,,,,,,0
739,5502919,Cladonia squamosa,p,lichen,lichen,,,,,,,,,,,0
745,5505253,Cladonia squamules/sp,p,lichen,lichen,,,,,,,,,,,0
630,920525,Claytonia perfoliata,a,Th,h,3.6,15.6,768,"4, 17, 19",6,6,5,5,0,,0
750,920524,Claytonia sibirica,a,Th,h,3.2,14.4,1092,"1, 3",5,7,6,6,0,,0
663,920547,Cornus alba,p,Ph,ws,,,,,,,,,,am,0
576,820158,Climacium dendroides,p,moss,moss,,,,,,,,,,,0
785,920530,Clinopodium vulgare,p,hc,h,3.5,15.4,880,7,7,4,7,4,0,,0
558,920534,Cochlearia micacea,b,hc,h,0.2,11.4,2221,15,8,8,7,2,0,,0
592,920538,Colchicum autumnale,p,Gn,h,3.6,15.8,809,6,6,6,6,4,0,,0
148,920541,Conopodium majus,p,Gn,h,3.5,14.5,1102,"1, 6",6,5,5,5,0,,0
291,920543,Convallaria majalis,p,Gn,h,3.3,15.5,831,"1, 7",5,5,6,5,0,,0
58,920544,Convolvulus arvensis,p,Gn,h,3.8,15.2,929,"3, 4",7,4,8,6,0,,0
156,920548,Cornus sanguinea,p,Ph,ws,3.7,15.8,810,"1, 3",7,5,7,6,0,am,0
418,920562,Cotoneaster integrifolius,p,Pn,ws,3.9,14.7,1194,"3, 17",7,3,7,4,0,am,0
690,9204831,Corydalis sp.,a,Th,h,,,,,,,,,,,0
146,920557,Corylus avellana,p,Ph,wt,3.5,14.6,1094,"1, 3",4,5,6,6,0,em,2
227,920617,Daphne laureola,p,Pn,ws,3.7,16,760,1,4,5,7,5,0,am,0
438,920618,Daphne mezereum,p,Pn,ws,3.5,15.8,890,1,4,5,7,6,0,am,0
206,920570,Crataegus laevigata,p,Ph,wt,3.5,16.2,674,1,5,5,7,5,0,am,0
27,920569,Crataegus monogyna,p,Ph,wt,3.6,14.7,1073,"1, 3",6,5,7,6,0,am,2
567,9204837,Crataegus sp.,P,Ph,wt,,,,,,,,,,am,0
109,920572,Crepis capillaris,a,Th,h,3.6,14.6,1074,7,7,4,7,4,0,,0
216,920576,Crepis paludosa,p,hc,h,2.7,13.4,1334,"11, 16",6,7,6,4,0,,0
624,9204527,Crepis sp.,p,hc,h,,,,,,,,,,,0
578,920578,Crepis vesicaria,b,hc,h,4.1,15.7,858,"3, 5, 6, 17",8,5,7,7,0,,0
152,920875,Cruciata laevipes,p,hc,h,3.2,15.2,892,6,6,5,7,5,0,,0
383,910586,Cryptogramma crispa,p,hc,h,1.8,12.9,1678,"10, 15, 16",7,5,2,3,0,,0
560,820166,Ctenidium molluscum,p,moss,moss,,,,,,,,,,,0
765,9204842,Cupressus sp.,p,Ph,wt,,,,,,,,,,am,0
604,920592,Cymbalaria muralis,p,Ch,h,3.7,15,990,"3, 16, 17, 19",7,5,7,6,0,,0
298,920596,Cynoglossum officinale,p,hc,h,3.9,15.8,780,"7, 19",8,4,8,6,1,,0
200,920597,Cynosurus cristatus,p,hc,h,3.5,14.5,1103,"5, 6",7,5,6,4,0,,0
325,920684,Empetrum nigrum,p,Ch,ws,2.7,13.2,1381,"10, 12, 15",7,6,2,1,0,er,0
8,920607,Dactylis glomerata,p,hc,h,3.6,14.5,1091,"5, 6",7,5,7,6,0,,0
349,920613,Dactylorhiza purpurella,p,Gn,h,3.1,13.5,1244,11,8,8,7,2,1,,0
157,9204528,Dactylorhiza sp.,p,Gn,h,,,,,,,,,,,0
344,9201915,Danthonia decumbens,p,hc,h,3.5,14.3,1160,"7, 8",7,6,4,2,0,,0
123,920726,Erica cinerea,p,Ch,ws,3.5,14,1226,10,7,5,2,2,0,er,0
364,920731,Erica tetralix,p,Ch,ws,3.4,14,1230,"10, 12",8,8,2,1,0,er,0
25,920627,Deschampsia cespitosa,p,hc,h,3.5,14.4,1099,"1, 6",6,6,5,4,0,,2
18,920628,Deschampsia flexuosa,p,hc,h,3.2,14.1,1177,"8, 10",6,5,2,3,0,,2
496,820184,Dicranella heteromalla,p,moss,moss,,,,,,,,,,,0
654,20000868,Dicranella sp,p,moss,moss,,,,,,,,,,,0
627,820203,Dicranum majus,p,moss,moss,,,,,,,,,,,0
502,820206,Dicranum scoparium,p,moss,moss,,,,,,,,,,,0
633,8201132,Dicranum sp.,p,moss,moss,,,,,,,,,,,0
86,920640,Digitalis purpurea,b,hc,h,3.5,14.5,1120,"8, 9",6,6,4,5,0,,0
506,810747,Diplophyllum albicans,p,moss,moss,,,,,,,,,,,0
752,8101284,Diplophyllum sp.,p,moss,moss,,,,,,,,,,,0
301,920646,Dipsacus fullonum sens.lat.,b,hc,h,3.8,15.6,863,"3, 6, 17",8,7,7,7,0,,0
650,820226,Drepanocladus revolvens,p,moss,moss,,,,,,,,,,,0
363,920657,Drosera rotundifolia,p,hc,h,3.3,13.9,1269,12,8,9,2,1,0,,0
518,910662,Dryopteris affinis,p,hc,h,3.5,14.3,1160,"1, 16",5,6,5,5,0,,0
19,200001583,Dryopteris dilatata/carthusiana,p,hc,h,,,,,,,,,,,0
26,910665,Dryopteris filix-mas,p,hc,h,3.5,14.5,1096,"1, 2",5,6,5,5,0,,2
734,9104634,Dryopteris sp.,p,hc,h,,,,,,,,,,,0
782,920675,Eleocharis palustris,p,Hy,h,3.5,14.5,1098,11,8,10,6,4,1,,0
651,920677,Eleocharis quinqueflora,p,hc,h,3.1,13.5,1323,11,9,9,7,2,0,,0
294,920681,Elodea canadensis,p,Hy,h,3.6,15.1,936,"13, 14",7,12,7,6,0,,0
165,9207006,Elymus caninus,p,hc,h,3.3,14.9,981,"1, 3",7,6,7,8,0,,0
386,92033,Elytrigia repens,p,hc,h,3.6,14.6,1046,"3, 4, 19",7,5,7,7,2,,0
234,920762,Euonymus europaeus,p,Ph,ws,3.9,15.4,904,"1, 3",5,5,8,5,0,am,0
621,920691,Epilobium anagallidifolium,p,hc,h,0.9,11.6,1880,"11, 15",8,8,6,3,0,,0
355,920699,Epilobium brunnescens,p,hc,h,3,13.6,1357,"14, 15, 16",7,8,4,3,0,,0
514,920688,Epilobium ciliatum,p,hc,h,3.7,15,972,"3, 4, 17",7,6,6,6,0,,0
114,920692,Epilobium hirsutum,p,hc,h,3.8,15,971,"11, 14",7,8,7,7,0,,0
62,920695,Epilobium montanum,p,hc,h,3.5,14.5,1091,"3, 16, 17",6,6,6,6,0,,0
582,920696,Epilobium obscurum,p,hc,h,3.5,14.5,1104,"11, 14",6,8,5,5,0,,0
246,920697,Epilobium palustre,p,hc,h,3.4,14.3,1146,"11, 14",7,8,5,3,0,,0
413,920698,Epilobium parviflorum,p,hc,h,3.8,14.9,996,11,7,9,7,5,0,,0
523,9204530,Epilobium sp.,p,hc,h,,,,,,,,,,,0
655,200001439,Epilobium tetragon/obscurum,p,hc,h,,,,,,,,,,,0
465,9207292,Epilobium tetragonum,p,hc,h,3.9,15.9,834,"3, 17",6,7,5,5,0,,0
314,920702,Epipactis atrorubens,p,Gn,h,3,13.8,1328,16,7,4,8,1,0,,0
76,920705,Epipactis helleborine,p,Gn,h,3.6,15.3,946,"1, 7",4,5,7,4,0,,0
213,910712,Equisetum arvense,p,Gn,h,3.5,14.5,1087,"3, 4",7,6,6,6,0,,0
