SITE,PLOT,y71,y03,diff
16,15,1.276272016,0.675442421,-0.600829595
16,16,3.19853402,0.806996613,-2.391537408
17,1,1.197732199,2.660536279,1.462804079
17,2,1.12900986,1.621847207,0.492837348
17,3,0.647953485,3.218168975,2.57021549
17,4,1.036725576,2.599667921,1.562942345
17,5,0.950331778,1.411753199,0.461421421
17,6,1.849612675,1.068141502,-0.781471173
17,7,1.260564052,0.620464549,-0.640099503
17,8,1.015127126,2.929535149,1.914408023
17,9,0.803069622,0.567450173,-0.235619449
17,10,1.41568019,1.759291886,0.343611696
17,11,1.739656932,1.480475538,-0.259181394
17,12,3.840597019,1.500110492,-2.340486527
17,13,1.22718463,1.327322896,0.100138266
17,14,1.580613804,0.437859476,-1.142754328
17,15,0.553705705,,
17,16,2.026327262,0.789325154,-1.237002107
18,1,0.229728963,2.619302875,2.389573912
18,2,2.958987581,1.244856089,-1.714131492
18,3,1.272345025,3.257438883,1.985093858
18,4,0.581194641,0.102101761,-0.47909288
18,5,0.280779843,0.453567439,0.172787596
18,6,0.775580686,7.288494956,6.51291427
18,7,1.694496538,1.474585052,-0.219911486
18,8,1.68467906,,
18,9,1.327322896,2.727295122,1.399972226
18,10,0.484983366,0.675442421,0.190459055
18,11,0.62439154,0.977820713,0.353429174
18,12,1.398008731,0.567450173,-0.830558558
18,13,2.513274123,0.396626073,-2.11664805
18,14,0.188495559,1.623810703,1.435315144
18,15,3.722787295,6.181083546,2.458296251
18,16,0.7696902,6.257659867,5.487969667
19,1,0.270962366,2.177516408,1.906554042
19,2,0.206167018,0.430005494,0.223838477
19,3,0.206167018,0.836449044,0.630282026
19,4,0.371100632,1.105447915,0.734347283
19,5,0.029452431,0.850193512,0.820741081
19,6,0.229728963,0.437859476,0.208130513
19,7,0.129590697,0.818777585,0.689186888
19,8,0.814850595,1.63362818,0.818777585
19,9,1.588467785,1.678788574,0.090320789
19,10,1.529562923,1.433351648,-0.096211275
19,11,1.835868207,2.100940087,0.26507188
19,12,0.883572934,2.381719931,1.498146997
19,13,0.33772121,0.35931966,0.021598449
19,14,0.361283155,1.973312886,1.61202973
19,15,0.702931356,0.797179136,0.09424778
19,16,0.412334036,0.524253274,0.111919238
20,1,0.461421421,,
20,2,0.402516559,1.718058482,1.315541924
20,3,0.07264933,0.164933614,0.092284284
20,4,1.551161373,0.610647072,-0.940514301
20,5,0.235619449,1.564905841,1.329286392
20,6,0.107992247,1.755364895,1.647372648
20,7,0.045160394,1.138827337,1.093666943
20,8,0.549778714,1.309651437,0.759872723
20,9,1.246819584,2.635010838,1.388191254
20,10,6.067200812,0.875718952,-5.19148186
20,11,1.865320638,0.076576321,-1.788744317
20,12,0.237582944,0.846266521,0.608683577
20,13,0.437859476,0.873755457,0.435895981
20,14,3.654064955,0.176714587,-3.477350368
20,15,7.045021526,0.058904862,-6.986116663
20,16,1.692533042,0.985674695,-0.706858347
21,1,0.589048623,0.767726705,0.178678082
21,2,0.708821842,1.496183501,0.787361659
21,3,1.672898088,2.847068342,1.174170254
21,4,0.001963495,2.352267499,2.350304004
21,5,1.568832831,0.771653696,-0.797179136
21,6,0.814850595,3.196570525,2.381719931
21,7,1.309651437,,
21,8,0.687223393,2.336559536,1.649336143
21,9,1.696460033,0.543888228,-1.152571805
21,10,1.286089493,0.979784209,-0.306305284
21,11,1.792671308,1.384264263,-0.408407045
21,12,1.739656932,1.904590546,0.164933614
21,13,0.473202393,2.57021549,2.097013096
21,14,,2.536836068,
21,15,1.773036354,2.452405765,0.679369411
21,16,2.572178985,1.315541924,-1.256637061
22,1,1.054397034,,
22,2,2.049889206,0.19242255,-1.857466656
22,3,0.587085127,0.206167018,-0.380918109
22,4,0.673478925,0.55174221,-0.121736715
22,5,0.767726705,0.043196899,-0.724529806
22,6,0.638136008,1.215403658,0.57726765
22,7,0.594939109,0.569413668,-0.02552544
22,8,0.41037054,1.613993226,1.203622685
22,9,0.808960108,1.372483291,0.563523182
22,10,1.03476208,2.097013096,1.062251016
22,11,1.437278639,1.816233253,0.378954614
22,12,1.017090622,0.029452431,-0.98763819
22,13,1.922262005,1.545270886,-0.376991118
22,14,1.083849465,,
22,15,1.464767575,4.111559385,2.646791811
22,16,5.84139884,2.134319509,-3.707079331
23,1,1.272345025,2.656609288,1.384264263
23,2,2.201078353,1.600248758,-0.600829595
23,3,2.701769682,1.606139244,-1.095630438
23,4,1.541343896,1.333213382,-0.208130513
23,5,0.993528677,4.048727532,3.055198856
23,6,2.366011967,0.677405916,-1.688606051
23,7,0.854120503,0.241509935,-0.612610567
23,8,1.949750941,1.588467785,-0.361283155
23,9,0.706858347,2.151990968,1.445132621
23,10,2.774419012,1.350884841,-1.423534171
23,11,2.801907948,3.43808046,0.636172512
23,12,0.808960108,2.95506059,2.146100481
23,13,2.460259747,1.792671308,-0.667588439
23,14,0.985674695,1.839795198,0.854120503
23,15,0.433932485,1.981166867,1.547234382
23,16,0.838412539,1.99687483,1.158462291
24,1,2.106830573,,
24,2,0.960149255,,
24,3,1.588467785,,
24,4,0.964076246,,
24,5,0.441786467,,
24,6,0.728456797,0.812887099,0.084430303
24,7,1.435315144,,
24,8,1.70627751,0.997455668,-0.708821842
24,9,0.71863932,1.085812961,0.367173641
24,10,1.158462291,0.243473431,-0.91498886
24,11,0.730420292,,
24,12,0.655807466,,
