,species,mycorrhiza
393,Acaena ,AM
394,Acaena ,AM
395,Acaena ,AM
396,Acaena ,nm
397,Acaena ,AM
398,Acaena alpina ,AM
399,Acaena glabra,AM
400,Acaena magellanica,nm
401,Acaena magellanica,AM
402,Acaena magellanica,AM
403,Acaena magellanica,nm
404,Acaena magellanica,AM
405,Acaena minor,AM
406,Acaena myriophylla,AM
407,Acaena myriophylla,AM
408,Acaena novae-zelandiae,AM
409,Acaena novae-zelandiae,AM
410,Acaena ovalifolia,AM
411,Acaena ovina,AM
412,Acaena pinnatifida,AM
413,Acaena pinnatifida,AM
414,Acaena pinnatifida,AM
415,Acaena pinnatifida,AM
416,Acaena tenera,nm
417,Acalypha australis,AM
418,Acalypha australis,AM
419,Acalypha ciliata,non-AM
420,Acalypha communis,AM
421,Acalypha communis,AM
422,Acalypha communis,AM
423,Acalypha fruticosa,AM
424,Acalypha fruticosa,AM
425,Acalypha fruticosa,nm
426,Acalypha indica,AM
427,Acalypha indica,AM
428,Acalypha indica,AM
429,Acalypha indica,AM
430,Acalypha indica,AM
431,Acalypha indica,AM
432,Acalypha indica,AM
433,Acalypha indica,AM
434,Acalypha indica,AM
435,Acalypha kerrii,AM
436,Acalypha kerrii,AM
437,Acalypha lanceolata,AM
438,Acalypha lanceolata,non-AM
439,Acalypha ostryifolia,AM
440,Acalypha virginica var. rhomboidea,AM
441,Acalypha virginica var. rhomboidea,AM
442,Acalypha wilkesiana,nm
443,Acalypha wilkesiana,AM
444,Acanthaceae,AM
445,Acanthaceae,AM
446,Acanthocalycium spiniflorum,AM
447,Acanthocalycium spiniflorum,AM
448,Acanthocarpus preissii,AM
449,Acanthophyllum elatius,nm
450,Acanthophyllum elatius,nm
451,Acanthophyllum korolkowii,nm
452,Acanthophyllum krascheninnikovii,nm
453,Acanthophyllum squarrosum,AM
454,Acanthospermum hispidum,AM
455,Acanthospermum hispidum,AM
456,Acanthospermum hispidum,nm
457,Acanthus ilicifolius,AM
458,Acanthus ilicifolius,non-AM
459,Acanthus ilicifolius,nm
460,Acanthus ilicifolius,nm
461,Acanthus ilicifolius,AM
462,Acanthus ilicifolius,AM
463,Acanthus ilicifolius,AM
464,Acanthus ilicifolius,AM
465,Acanthus ilicifolius,AM
466,Acanthus ilicifolius,AM
467,Acanthus ilicifolius,AM
468,Acanthus ilicifolius,AM
469,Acanthus ilicifolius,AM
470,Acanthus ilicifolius,AM
471,Acanthus ilicifolius,AM
472,Acanthus ilicifolius,AM
473,Acanthus ilicifolius,AM
474,Acanthus ilicifolius,nm
475,Acca sellowiana,AM
476,Acer barbinerve,EcM
477,Acer buergerianum,AM
478,Acer buergerianum,AM
479,Acer campestre,AM
480,Acer campestre,AM
481,Acer campestre,AM
482,Acer campestre,AM
483,Acer campestre,AM
484,Acer campestre,nm
485,Acer campestre,EcM
486,Acer campestre,AM
487,Acer campestre,EcM
488,Acer campestre,AM
489,Acer campestre,AM
490,Acer campestre,AM
491,Acer cappadocicum,AM
492,Acer cappadocicum,AM
493,Acer caudatum subukurundense,EcM
494,Acer coriaceifolium,AM
495,Acer davidii,AM
496,Acer davidii,AM
497,Acer elegantulum,dual
498,Acer fabri,AM
499,Acer fabri,AM
500,Acer glabrum,nm
501,Acer henryi,AM
502,Acer linganense,dual
503,Acer mandshuricum,EcM
504,Acer miyabei submiaotaiense,AM
505,Acer monspessulanum,AM
506,Acer negundo,AM
507,Acer negundo,AM
508,Acer negundo,AM
509,Acer negundo,AM
510,Acer negundo,AM
511,Acer negundo,AM
512,Acer negundo,AM
513,Acer negundo,AM
514,Acer negundo,AM
515,Acer negundo,dual
516,Acer negundo,AM
517,Acer negundo,non-EcM
518,Acer oblongum,AM
519,Acer oliverianum,AM
520,Acer palmatum,AM
521,Acer palmatum,AM
522,Acer pauciflorum,AM
523,Acer pentapomicum,AM
524,Acer pictum,AM
525,Acer pictum,AM
526,Acer pictum,nm
527,Acer pictum,AM
528,Acer pictum,AM
529,Acer platanoides,AM
530,Acer platanoides,AM
531,Acer platanoides,AM
532,Acer platanoides,AM
533,Acer platanoides,nm
534,Acer platanoides,AM
535,Acer platanoides,AM
536,Acer platanoides,AM
537,Acer platanoides,EcM
538,Acer platanoides,nm
539,Acer platanoides,AM
540,Acer platanoides,AM
541,Acer platanoides,AM
542,Acer platanoides,AM
543,Acer platanoides,non-EcM
544,Acer platanoides subturkestanicum,AM
545,Acer pseudoplatanus,AM
546,Acer pseudoplatanus,AM
547,Acer pseudoplatanus,AM
548,Acer pseudoplatanus,nm
549,Acer pseudoplatanus,nm
550,Acer pseudoplatanus,AM
551,Acer pseudoplatanus,non-EcM
552,Acer pseudoplatanus,AM
553,Acer pseudoplatanus,AM
554,Acer pseudoplatanus,AM
555,Acer pseudoplatanus,AM
556,Acer pseudoplatanus,AM
557,Acer pseudoplatanus,nm
558,Acer pseudoplatanus,AM
559,Acer pseudoplatanus,EcM
560,Acer pseudoplatanus,EcM
561,Acer pseudoplatanus,AM
562,Acer pseudoplatanus,AM
563,Acer pseudoplatanus,EcM
564,Acer pseudoplatanus,AM
565,Acer pseudoplatanus,AM
566,Acer pseudoplatanus,AM
567,Acer pseudoplatanus,AM
568,Acer pseudoplatanus,AM
569,Acer pseudoplatanus,AM
570,Acer pseudoplatanus,AM
571,Acer pseudoplatanus,EcM
572,Acer pseudoplatanus,AM
573,Acer pseudoplatanus,AM
574,Acer pseudoplatanus,AM
575,Acer pseudoplatanus,AM
576,Acer pseudoplatanus,AM
577,Acer pseudoplatanus,AM
578,Acer pseudoplatanus,AM
579,Acer pseudoplatanus,AM
580,Acer pseudoplatanus,AM
581,Acer pseudoplatanus,AM
582,Acer pseudoplatanus,AM
583,Acer pseudosieboldianum,AM
584,Acer pseudosieboldianum,AM
585,Acer pseudosieboldianum,nm
586,Acer rubrum,AM
587,Acer rubrum,AM
588,Acer rubrum,AM
589,Acer rubrum,AM
590,Acer rubrum,AM
591,Acer rubrum,AM
592,Acer rubrum,AM
593,Acer rubrum,AM
594,Acer rubrum,AM
595,Acer rubrum,AM
596,Acer rubrum,AM
597,Acer rubrum,AM
598,Acer rubrum,AM
599,Acer saccharinum,AM
600,Acer saccharinum,AM
601,Acer saccharinum,AM
602,Acer saccharinum,non-EcM
603,Acer saccharum,AM
604,Acer saccharum,AM
605,Acer saccharum,AM
606,Acer saccharum,AM
607,Acer saccharum,AM
608,Acer saccharum,AM
609,Acer saccharum,AM
610,Acer saccharum,AM
611,Acer saccharum,AM
612,Acer saccharum,AM
613,Acer saccharum,AM
614,Acer saccharum,AM
615,Acer saccharum,AM
616,Acer sino-oblongum,AM
617,Acer sinopurpurascens,AM
618,Acer spicatum,AM
619,Acer spicatum,AM
620,Acer spicatum,AM
621,Acer tataricum,AM
622,Acer tataricum,AM
623,Acer tataricum,AM
624,Acer tataricum subginnala,AM
625,Acer tataricum subginnala,AM
626,Acer tataricum subginnala,AM
627,Acer tataricum subginnala,AM
628,Acer tataricum subsemenovii,AM
629,Acer tataricum subsp. ginnala,non-EcM
630,Acer tegmentosum,AM
631,Acer tegmentosum,nm
632,"Achatocarpus
gracilis",EcM
633,Achillea alpina,non-AM
634,Achillea alpina,AM
635,Achillea clavennae,AM
636,Achillea lanulosa,AM
637,Achillea macrocephala,AM
638,Achillea millefolium,AM
639,Achillea millefolium,AM
640,Achillea millefolium,AM
641,Achillea millefolium,AM
642,Achillea millefolium,AM
643,Achillea millefolium,AM
644,Achillea millefolium,AM
645,Achillea millefolium,AM
646,Achillea millefolium,AM
647,Achillea millefolium,AM
648,Achillea millefolium,AM
649,Achillea millefolium,AM
650,Achillea millefolium,AM
651,Achillea millefolium,AM
652,Achillea millefolium,AM
653,Achillea millefolium,AM
654,Achillea millefolium,AM
655,Achillea millefolium,nm
656,Achillea millefolium,AM
657,Achillea millefolium,AM
658,Achillea millefolium,AM
659,Achillea millefolium,AM
660,Achillea millefolium,AM
661,Achillea millefolium,AM
662,Achillea millefolium,AM
663,Achillea millefolium,AM
664,Achillea millefolium,AM
665,Achillea millefolium,AM
666,Achillea millefolium,AM
667,Achillea millefolium,AM
668,Achillea millefolium,AM
669,Achillea millefolium,nm
670,Achillea millefolium,AM
671,Achillea millefolium,nm
672,Achillea millefolium,AM
673,Achillea millefolium,AM
674,Achillea millefolium,AM
675,Achillea millefolium,nm
676,Achillea millefolium,AM
677,Achillea millefolium,AM
678,Achillea millefolium,AM
679,Achillea millefolium,AM
680,Achillea millefolium,AM
681,Achillea millefolium,AM
682,Achillea millefolium,AM
683,Achillea millefolium,AM
684,Achillea millefolium,AM
685,Achillea millefolium,nm
686,Achillea millefolium,AM
687,Achillea millefolium,AM
688,Achillea nobilis,AM
689,Achillea nobilis,AM
690,Achillea ptarmica,AM
691,Achillea ptarmica,AM
692,Achillea ptarmica,AM
693,Achillea ptarmica,AM
694,Achillea ptarmica,nm
695,Achillea salicifolia,AM
696,Achillea tenuifolia,AM
697,Achillea tenuifolia,AM
698,Achlys triphylla,AM
699,Achyranthes aspera,AM
700,Achyranthes aspera,nm
701,Achyranthes aspera,nm
702,Achyranthes aspera,non-AM
703,Achyranthes aspera,AM
704,Achyranthes aspera,AM
705,Achyranthes aspera,AM
706,Achyranthes aspera,AM
707,Achyranthes aspera,nm
708,Achyranthes aspera,nm
709,Achyranthes aspera,AM
710,Achyranthes aspera,AM
711,Achyranthes aspera,AM
712,Achyranthes aspera,AM
713,Achyranthes aspera,nm
714,Achyranthes aspera,AM
715,Achyranthes aspera,nm
716,Achyranthes aspera,AM
717,Achyranthes aspera,AM
718,Achyranthes aspera,AM
719,Achyranthes aspera,nm
720,Achyranthes aspera,nm
721,Achyranthes bidentata,nm
722,Achyranthes bidentata,AM
