Site,Plot,Yr,Amalgams,cover
17,15,1,9201023.0,0.5
17,15,1,9201728.0,5.0
17,16,1,9201728.0,1.0
17,16,2,9201728.0,25.0
18,1,1,9201023.0,0.5
18,1,1,9201728.0,1.0
18,1,2,9201728.0,10.0
18,2,1,9201728.0,15.0
18,2,2,9201728.0,5.0
18,3,1,9201023.0,0.5
18,3,1,9201728.0,5.0
18,3,2,9201728.0,10.0
18,4,1,9201023.0,0.5
18,4,1,9201728.0,5.0
18,4,2,9201728.0,10.0
18,5,1,9201023.0,0.5
18,5,1,9201728.0,5.0
18,5,2,9201728.0,40.0
18,6,1,9201023.0,0.5
18,6,2,9201728.0,1.0
18,7,1,9201728.0,20.0
18,7,2,9201728.0,45.0
18,8,1,9201728.0,5.0
18,9,1,9201728.0,20.0
18,9,2,9201728.0,20.0
18,10,1,9201023.0,0.5
18,10,1,9201728.0,5.0
18,10,2,9201728.0,30.0
18,11,1,9201023.0,0.5
18,11,1,9201728.0,5.0
18,11,2,9201728.0,30.0
18,12,1,9201728.0,5.0
18,12,2,9201728.0,35.0
18,13,1,9201023.0,0.5
18,13,1,9201728.0,5.0
18,13,1,9201815.0,0.5
18,13,2,9201728.0,15.0
18,14,1,9201023.0,0.5
18,14,1,9201728.0,5.0
18,14,2,9201728.0,35.0
18,15,1,9201728.0,5.0
18,15,2,9201728.0,0.5
18,16,1,9201728.0,10.0
19,1,1,9201728.0,1.0
19,2,1,9201728.0,15.0
19,2,2,9201728.0,1.0
19,3,1,9201728.0,1.0
19,3,2,9201728.0,1.0
19,4,1,9201728.0,5.0
19,4,2,9201728.0,1.0
19,5,1,9201728.0,1.0
19,5,2,9201728.0,1.0
19,6,1,9201728.0,1.0
19,6,2,9201728.0,1.0
19,7,2,9201728.0,5.0
19,8,1,9201023.0,0.5
19,8,1,9201728.0,5.0
19,8,2,9201728.0,0.5
19,9,1,9201728.0,1.0
19,9,2,9201728.0,1.0
19,10,1,9201728.0,15.0
19,10,2,9201728.0,5.0
19,11,1,9201023.0,0.5
19,11,1,9201728.0,10.0
19,11,2,9201728.0,5.0
19,12,1,9201728.0,35.0
19,12,2,9201728.0,5.0
19,13,1,9201728.0,1.0
19,14,2,9201728.0,10.0
19,15,1,9201728.0,1.0
19,15,2,9201728.0,1.0
19,16,1,9201728.0,1.0
20,1,1,9201728.0,1.0
20,1,2,9201728.0,1.0
20,2,1,9201023.0,0.5
20,2,1,9201728.0,40.0
20,3,1,9201023.0,0.5
20,3,1,9201728.0,1.0
20,3,2,9201728.0,35.0
20,4,1,9201728.0,0.5
20,4,1,9201815.0,0.5
20,4,2,9201728.0,85.0
20,4,2,9201815.0,0.5
20,5,1,9201728.0,10.0
20,5,2,9201728.0,15.0
20,6,1,9201728.0,5.0
20,7,2,9201815.0,0.5
20,8,2,9201728.0,1.0
20,9,1,9201728.0,0.5
20,9,2,9201728.0,1.0
20,10,1,9201728.0,10.0
20,10,2,9201728.0,5.0
20,11,1,9201615.0,10.0
20,11,2,9201728.0,40.0
20,12,1,9201728.0,1.0
20,12,2,9201728.0,55.0
20,12,2,9201815.0,0.5
20,13,1,9201728.0,5.0
20,14,1,9201728.0,70.0
20,14,2,9201728.0,45.0
20,15,1,9201023.0,0.5
20,15,1,9201728.0,70.0
20,15,2,9201728.0,10.0
20,16,1,9201815.0,0.5
20,16,2,9201728.0,15.0
20,16,2,9201815.0,0.5
21,1,1,9201728.0,1.0
21,2,1,9201728.0,10.0
21,3,1,9201728.0,5.0
21,3,2,9201728.0,0.5
21,4,1,9201728.0,5.0
21,4,2,9201815.0,0.5
21,5,1,9201728.0,0.5
21,5,2,9201728.0,1.0
21,6,1,9201728.0,0.5
21,7,1,9201728.0,10.0
21,7,2,9201728.0,20.0
21,8,1,9201728.0,0.5
21,9,1,9201728.0,0.5
21,9,2,9201728.0,0.5
21,11,1,9201728.0,0.5
21,12,1,9201728.0,1.0
21,14,1,9201728.0,5.0
21,14,2,9201728.0,0.5
21,15,2,9201728.0,0.5
21,15,2,9201815.0,0.5
21,16,1,9201728.0,0.5
21,16,2,9201728.0,5.0
22,1,1,9201728.0,55.0
22,2,1,9201728.0,5.0
22,2,2,9201728.0,20.0
22,3,1,9201728.0,0.5
22,3,2,9201728.0,50.0
22,4,1,9201728.0,5.0
22,4,2,9201728.0,5.0
22,5,1,9201728.0,35.0
22,5,2,9201728.0,30.0
22,6,1,9201728.0,5.0
22,7,1,9201728.0,10.0
22,7,2,9201728.0,30.0
22,8,1,9201815.0,0.5
22,8,2,9201728.0,60.0
22,9,1,9201728.0,25.0
22,9,2,9201728.0,15.0
22,10,1,9201728.0,10.0
22,10,2,9201728.0,10.0
22,11,2,9201728.0,60.0
22,11,2,9201815.0,1.0
22,12,1,9201728.0,0.5
22,12,2,9201728.0,20.0
22,13,1,9201728.0,0.5
22,13,2,9201728.0,60.0
22,14,1,9201728.0,30.0
22,14,2,9201728.0,5.0
22,15,1,9201728.0,20.0
22,15,2,9201728.0,70.0
22,16,1,9201728.0,0.5
22,16,2,9201023.0,0.5
22,16,2,9201728.0,5.0
23,1,1,9201023.0,0.5
23,1,1,9201728.0,5.0
23,1,2,9201728.0,65.0
23,2,1,9201023.0,0.5
23,2,1,9201728.0,20.0
23,2,2,9201728.0,80.0
23,3,1,9201023.0,0.5
23,3,1,9201728.0,60.0
23,3,2,9201728.0,90.0
23,4,1,9201023.0,0.5
23,4,1,9201728.0,65.0
23,4,2,9201728.0,20.0
23,5,1,9201023.0,0.5
23,5,1,9201728.0,10.0
23,5,2,9201728.0,50.0
23,6,1,9201728.0,50.0
23,6,2,9201023.0,0.5
23,6,2,9201728.0,85.0
23,7,1,9201728.0,40.0
23,7,2,9201728.0,75.0
23,8,1,9201728.0,30.0
23,8,2,9201023.0,1.0
23,8,2,9201728.0,45.0
23,9,1,9201728.0,10.0
23,9,2,9201023.0,1.0
23,9,2,9201728.0,45.0
23,10,1,9201728.0,30.0
23,10,2,9201728.0,60.0
23,11,1,9201728.0,10.0
23,11,2,9201728.0,55.0
23,12,1,9201728.0,5.0
23,12,2,9201728.0,35.0
23,13,1,9201023.0,0.5
23,13,1,9201728.0,10.0
23,13,2,9201728.0,45.0
23,14,1,9201728.0,20.0
23,14,2,9201728.0,55.0
23,15,1,9201728.0,25.0
23,15,2,9201023.0,1.0
23,15,2,9201728.0,20.0
23,16,1,9201023.0,0.5
23,16,1,9201728.0,45.0
23,16,2,9201728.0,30.0
24,1,1,9201728.0,25.0
24,2,1,9201728.0,10.0
24,3,1,9201728.0,25.0
24,4,1,9201728.0,15.0
24,5,1,9201728.0,10.0
24,6,1,9201728.0,5.0
