SITE,PLOT,NVC,Yr
35,6,W10c,1
35,7,W10d,1
35,8,W21,1
35,9,W21,1
35,10,W21,1
35,11,W8d,1
35,12,W10a,1
35,13,W8d,1
35,14,OV27d,1
35,15,OV27d,1
35,16,W10c,1
36,1,OV27d,1
36,2,W16b,1
36,3,W16b,1
36,4,W10d,1
36,5,W10c,1
36,6,W10a,1
36,7,W10a,1
36,8,W10a,1
36,9,W6,1
36,10,W10a,1
36,11,W16b,1
36,12,W10d,1
36,13,W10c,1
36,14,W10d,1
36,15,W10c,1
36,16,W10d,1
37,1,W10c,1
37,2,W10,1
37,3,W10c,1
37,4,W10,1
37,5,W10c,1
37,6,W10,1
37,7,W10c,1
37,8,OV27,1
37,9,W10c,1
37,10,W10a,1
37,11,W10c,1
37,12,W6,1
37,13,MG7A,1
37,14,W10d,1
37,15,W10d,1
37,16,W10c,1
38,1,W10,1
38,2,W10,1
38,3,W10d,1
38,4,W10a,1
38,5,W12,1
38,6,W10,1
38,7,W10,1
38,8,W10c,1
38,9,OV27,1
38,10,W10d,1
38,11,W10d,1
38,12,W10,1
38,13,W10c,1
38,14,W6,1
38,15,W10,1
38,16,OV27,1
39,1,W10,1
39,2,W16b,1
39,3,W10d,1
39,4,W16,1
39,5,W16b,1
39,6,W10,1
39,7,W10c,1
39,8,W16a,1
39,9,W16a,1
39,10,W16b,1
39,11,W16b,1
39,12,W16,1
39,13,W10d,1
39,14,W16b,1
39,15,W16a,1
39,16,OV27,1
40,1,W4,1
40,2,W7,1
40,3,W10,1
40,4,OV27,1
40,5,MG9,1
40,6,W10,1
40,7,MG9,1
40,8,W10,1
40,9,W10,1
40,10,W10,1
40,11,W10,1
40,12,W10,1
40,13,W10,1
40,14,W7,1
40,15,W10c,1
40,16,W10,1
41,1,OV27,1
41,2,OV27,1
41,3,W6,1
41,4,W10,1
41,5,W6,1
41,6,W10c,1
41,7,W6,1
41,8,W8d,1
41,9,W6,1
41,10,OV27,1
41,11,OV27,1
41,12,OV27,1
41,13,OV27,1
41,14,M23,1
41,15,OV27,1
41,16,OV27,1
42,1,M15,1
42,2,M15,1
42,3,W10d,1
42,4,H12a,1
42,5,W16a,1
42,6,W16a,1
42,7,H2,1
42,8,W16a,1
42,9,W16,1
42,10,H12a,1
42,11,OV27,1
42,12,W4,1
42,13,W10d,1
42,14,W10,1
42,15,W10d,1
42,16,W10,1
43,1,M6,1
43,2,W16,1
43,3,W4,1
43,4,W10,1
43,5,W10,1
43,6,W21,1
43,7,W10c,1
43,8,W21,1
43,9,W10,1
43,10,W10d,1
43,11,W16b,1
43,12,W16,1
43,13,W16b,1
43,14,W10,1
43,15,W10d,1
43,16,W10d,1
44,1,W15c,1
44,2,W10d,1
44,3,W14,1
44,4,OV27,1
44,5,W10c,1
44,6,W10c,1
44,7,W8e,1
44,8,OV27d,1
44,9,W6,1
44,10,W10,1
44,11,W14,1
44,12,OV27,1
44,13,OV27d,1
44,14,OV27,1
44,15,W8d,1
44,16,W10a,1
45,1,OV27,1
45,2,W10d,1
45,3,W8e,1
45,4,W10a,1
45,5,W10d,1
45,6,W10c,1
