year,Plot,Nest,Site,Cove,BRC,BRC names,Woody
1,1,5,2,0.5,920931.0,Glechoma hederacea,
1,1,5,2,0.5,9201023.0,Ilex aquifolium,w
1,1,5,2,0.5,200001583.0,Dryopteris dilatata/carthusiana,
1,2,1,2,5.0,920183.0,Galium odoratum,
1,2,1,2,1.0,920627.0,Deschampsia cespitosa,
1,2,1,2,1.0,920841.0,Fraxinus excelsior (c),w
1,2,1,2,1.0,920952.0,Hedera helix,
1,2,1,2,15.0,9201728.0,Rubus fruticosus agg.,
1,2,2,2,0.5,920687.0,Hyacinthoides non-scripta,
1,2,2,2,1.0,9201188.0,Lonicera periclymenum,w
1,2,2,2,0.5,9201951.0,Solidago virgaurea,
1,2,2,2,0.5,200001595.0,Viola riviniana/reichenbiana,
1,2,3,2,0.5,92046.0,Ajuga reptans,
1,2,3,2,0.5,920421.0,Carex sylvatica,
1,2,3,2,0.5,9201023.0,Ilex aquifolium,w
1,2,3,2,0.5,9201413.0,Oxalis acetosella,
1,2,4,2,0.5,920544.0,Convolvulus arvensis,
1,2,4,2,0.5,9201694.0,Ribes nigrum,
1,2,4,2,0.5,9201696.0,Ribes rubrum,
1,2,5,2,0.5,920513.0,Circaea lutetiana,
1,2,5,2,0.5,920810.0,Fagus sylvatica,w
1,3,1,2,0.5,920841.0,Fraxinus excelsior (c),w
1,3,1,2,5.0,920952.0,Hedera helix,
1,3,1,2,0.5,9201188.0,Lonicera periclymenum,w
1,3,1,2,15.0,9201728.0,Rubus fruticosus agg.,
1,3,1,2,1.0,200001595.0,Viola riviniana/reichenbiana,
1,3,2,2,0.5,92046.0,Ajuga reptans,
1,3,2,2,1.0,920513.0,Circaea lutetiana,
1,3,2,2,0.5,920810.0,Fagus sylvatica,w
1,3,2,2,0.5,9201023.0,Ilex aquifolium,w
1,3,2,2,0.5,9201596.0,Potentilla sterilis,
1,3,3,2,0.5,92040.0,Agrostis capillaris,
1,3,3,2,1.0,920183.0,Galium odoratum,
1,3,3,2,1.0,9201413.0,Oxalis acetosella,
1,3,4,2,0.5,9204445.0,Betula seedling/sp,w
1,3,5,2,1.0,9201951.0,Solidago virgaurea,
1,4,1,2,0.5,920513.0,Circaea lutetiana,
1,4,1,2,1.0,920695.0,Epilobium montanum,
1,4,1,2,0.5,920841.0,Fraxinus excelsior (c),w
1,4,1,2,1.0,920931.0,Glechoma hederacea,
1,4,1,2,1.0,920952.0,Hedera helix,
1,4,1,2,1.0,9101619.0,Pteridium aquilinum,
1,4,1,2,10.0,9201188.0,Lonicera periclymenum,w
1,4,1,2,5.0,9201413.0,Oxalis acetosella,
1,4,1,2,30.0,9201728.0,Rubus fruticosus agg.,
1,4,1,2,1.0,200001595.0,Viola riviniana/reichenbiana,
