BRC names,BRC number,Woody
Ephemerum recurvifolium,820238,
Ephemerum serratum,820239,
Ephemerum serratum var.minutissimum,820239.1,
Ephemerum sessile,820240,
Ephemerum stellatum,820241,
Epipterygium tozeri,820242,
Eucladium verticillatum,820243,
Rhynchostegium lusitanicum,820244,
Rhynchostegium confertum,820245,
Rhynchostegium megapolitanum,820246,
Eurhynchium meridionale,820247,
Rhynchostegium murale,820248,
Eurhynchium praelongum,820249,
Eurhynchium praelongum var.stokesii,820249.2,
Eurhynchium pulchellum var.praecox,820250.3,
Rhynchostegium riparioides,820251,
Rhynchostegium rotundifolium,820252,
Eurhynchium schleicheri,820253,
Eurhynchium speciosum,820254,
Eurhynchium striatum,820255,
Eurhynchium swartzii,820256,
Fissidens adianthoides,820257,
Fissidens algarvicus,820258,
Fissidens bryoides,820260,
Fissidens crassipes,820261,
Fissidens cristatus,820262,
Fissidens curnovii,820263,
Fissidens exiguus,820264,
Fissidens exilis,820265,
Fissidens incurvus,820266,
Fissidens pusillus,820267,
Fissidens pusillus var.tenuifolius,820267.2,
Fissidens monguillonii,820268,
Fissidens osmundoides,820269,
Fissidens polyphyllus,820270,
Fissidens rivularis,820271,
Fissidens rufulus,820272,
Fissidens serrulatus,820273,
Fissidens taxifolius,820274,
Fissidens viridulus,820275,
Fontinalis antipyretica,820276,
Fontinalis squamosa var.dixonii,820278,
Fontinalis squamosa,820281,
Funaria attenuata,820282,
Funaria fascicularis,820283,
Funaria hygrometrica,820284,
Funaria muhlenbergii,820285,
Funaria obtusa,820286,
Glyphomitrium daviesii,820287,
Grimmia alpestris,820288,
Schistidium alpicola,820289,
Grimmia anodon,820290,
Schistidium apocarpum,820291,
Schistidium apocarpum var.homodictyon,820291.2,
Grimmia atrata,820292,
Schistidium atrofuscum,820293,
Schistidium apocarpum var.confertum,820295,
Grimmia decipiens,820297.1,
Grimmia donniana,820298,
Grimmia elatior,820299,
Grimmia elongata,820300,
Grimmia funalis,820301,
Grimmia hartmanii,820302,
Grimmia incurva,820304,
Grimmia laevigata,820305,
Schistidium maritimum,820306,
Grimmia montana,820307,
Grimmia trichophylla var.tenuis,820308,
Grimmia orbicularis,820309,
Grimmia affinis,820310,
Dryptodon patens,820311,
Grimmia pulvinata,820312,
Grimmia retracta,820313,
Grimmia trichophylla var.stirtonii,820314,
Schistidium strictum,820315,
Grimmia trichophylla var.subsquarrosa,820316,
Grimmia torquata,820317,
Schistidium trichodon,820318,
Grimmia unicolor,820320,
Gymnostomum aeruginosum,820321,
Gymnostomum calcareum,820322,
Gymnostomum recurvirostrum sens.lat.,820323,
Gymnostomum insigne,820323.2,
Gyroweisia tenuis,820325,
Habrodon perpusillus,820326,
Aplodon wormskjoldii,820327,
Hedwigia ciliata sens.lat.,820328,
Hedwigia integrifolia,820329,
Heterocladium heteropterum,820331,
Heterocladium heteropterum var.flaccidum,820331.1,
Heterocladium dimorphum,820332,
Homalia trichomanoides,820333,
Homomallium incurvatum,820334,
Hookeria lucens,820335,
Amblystegium fluviatile,820336,
Amblystegium tenax,820337,
Hygrohypnum dilatatum,820338,
Hygrohypnum eugyrium,820339,
Hygrohypnum luridum,820340,
Hygrohypnum molle,820341,
Hygrohypnum ochraceum,820342,
Hygrohypnum smithii,820343,
Hylocomium brevirostre,820344,
Hylocomium pyrenaicum,820345,
Hylocomium splendens,820346,
Hylocomium umbratum,820347,
Hyocomium armoricum,820348,
Hypnum bambergeri,820349,
Hypnum callichroum,820350,
Hypnum cupressiforme sens.lat.,820351,
Hypnum jutlandicum,820351.2,
Hypnum mammillatum,820351.5,
Hypnum hamulosum,820352,
Hypnum imponens,820353,
Hypnum lindbergii,820354,
Hypnum revolutum,820355,
Taxiphyllum wissgrillii,820356,
Isopterygium elegans,820357,
Isopterygiopsis muelleriana,820358,
Isopterygium pulchellum,820359,
Herzogiella seligeri,820360,
Isothecium holtii,820361,
Isothecium myosuroides,820362,
Isothecium myosuroides var.brachythecioides,820362.1,
Isothecium myurum,820363,
Isothecium striatulum,820364,
Leptobryum pyriforme,820365,
Amblystegium riparium,820366,
Leptodon smithii,820367,
Leptodontium flexifolium,820368,
Leptodontium gemmascens,820369,
Leptodontium recurvifolium,820370,
Pseudoleskeella nervosa,820372,
Leskea polycarpa,820373,
Leucobryum glaucum,820374,
Leucodon sciuroides,820375,
Meesia triquetra,820376,
Meesia uliginosa,820377,
