SITE,PLOT,SOM1971,SOM resurvey,,
93,7,10.213,9.444993,,
71,15,5.674,9.5,,
71,5,5.989,9.5,,
80,13,6.67,9.5,,
14,16,9.747,9.58,,
80,4,7.689,9.6,,
20,10,9.198,9.65,,
67,9,7.498,9.663099,,
70,11,6.464,9.674687,,
101,16,7.393,9.72,,
36,2,8.493,9.736308,,
69,11,9.083,9.782405,,
71,2,5.751,9.8,,
71,6,6.664,9.8,,
36,5,10.794,9.822069,,
7,16,16.344,9.84413,,
83,13,21.06,9.846967,,
100,12,11.802,9.9,,
89,7,14.157,9.9,,
44,5,8.695,9.931222,,
100,5,7.874,10,,
62,10,21.83,10.0293,,
3,3,33.773,10.09634,,
80,12,8.578,10.1,,
70,1,9.362,10.10836,,
31,11,11.296,10.2,,
3,6,13.599,10.21175,,
18,8,11.535,10.21347,,
18,9,9.993,10.21636,,
20,5,10.193,10.22,,
44,3,7.737,10.22922,,
85,7,24.721,10.27066,,
95,4,6.26,10.28,,
29,9,7.846,10.3,,
21,10,9.085,10.3,,
8,4,12.937,10.4,,
96,16,12.183,10.41684,,
54,3,21.991,10.42625,,
35,2,18.248,10.44301,,
18,1,14.513,10.47967,,
50,6,24.996,10.51018,,
83,8,24.719,10.54362,,
48,1,6.979,10.6,,
92,14,9.749,10.66794,,
31,10,11.324,10.7,,
5,1,8.805,10.8,,
48,2,10.708,10.8,,
50,5,30.228,10.86776,,
83,5,22.363,10.90118,,
15,16,8.491,10.91272,,
87,12,12.035,10.91821,,
50,4,14.459,10.94644,,
23,6,8.387,11,,
6,7,11.851,11,,
31,13,15.152,11,,
64,14,15.841,11.05004,,
22,15,9.85,11.05834,,
87,16,15.426,11.08892,,
3,13,10.685,11.09014,,
24,7,7.405,11.1,,
21,12,8.996,11.2,,
11,2,11.508,11.2,,
7,13,10.069,11.25348,,
16,9,7.085,11.3,,
32,14,9.443,11.3,,
28,6,10.351,11.3,,
50,15,33.976,11.36071,,
88,3,9.462,11.4,,
18,13,10.706,11.41204,,
46,1,7.175,11.43962,,
92,5,5.376,11.46617,,
94,4,21.746,11.5,,
97,1,10.763,11.52668,,
22,6,11.376,11.5514,,
31,1,12.112,11.6,,
96,11,9.369,11.68913,,
23,11,9.771,11.7,,
1,10,5.329,11.8,,
100,1,9.18,11.8,,
83,9,35.133,11.82014,,
93,6,6.69,11.8246,,
64,2,20.085,11.89682,,
51,2,11.845,11.9,,
32,11,12.501,11.9,,
66,6,9.692,12,,
87,9,12.107,12.07273,,
54,1,23.182,12.1132,,
93,9,4.188,12.13069,,
90,5,10.9,12.13449,,
92,6,6.484,12.141,,
43,3,74.574,12.14585,,
41,11,12.09,12.2294,,
18,11,10.031,12.24286,,
54,6,16.541,12.26003,,
50,7,20.072,12.29325,,
88,10,7.839,12.3,,
28,7,13.174,12.3,,
81,7,15.909,12.31707,,
3,15,13.019,12.35835,,
70,15,10.238,12.37815,,
24,5,8.416,12.4,,
11,1,10.947,12.4,,
96,2,23.938,12.42433,,
86,6,7.44,12.42845,,
83,10,23.006,12.50554,,
50,11,29.005,12.50895,,
31,3,9.95,12.6,,
25,14,11.99,12.6,,
41,12,13.41,12.63833,,
18,6,10.371,12.65981,,
62,6,24.626,12.67912,,
36,8,12.264,12.69907,,
21,11,12.354,12.7,,
69,16,8.893,12.85597,,
97,2,17.448,12.8625,,
44,6,6.768,12.89091,,
21,8,9.414,12.9,,
40,10,9.792,12.9,,
33,3,13.034,12.9,,
25,16,13.137,12.9,,
50,1,20.717,12.93345,,
18,15,14.288,12.94882,,
51,12,8.535,13.1,,
94,3,19.711,13.1,,
96,15,10.909,13.18784,,
33,8,16.294,13.2,,
31,14,14.113,13.3,,
89,8,18.336,13.3,,
50,10,16.451,13.46611,,
88,1,11.95,13.5,,
10,1,15.463,13.5,,
50,8,16.729,13.51375,,
4,5,5.653,13.61378,,
92,12,11.299,13.6475,,
52,11,18.9,13.7,,
92,1,21.567,13.70963,,
31,12,9.294,13.8,,
51,4,11.051,13.8,,
100,10,11.527,13.8,,
52,8,15.971,13.8,,
37,2,13.183,13.83893,,
87,15,18.199,13.8415,,
14,15,9.743,13.85,,
5,4,8.359,14,,
78,10,14.109,14.01664,,
96,14,12.714,14.02467,,
53,9,7.497,14.1,,
62,13,22.204,14.11306,,
18,2,7.646,14.19863,,
