,BRC names,BRC number,Woody
435,Sonchus arvensis,9201952,
436,Sonchus asper,9201953,
437,Sonchus oleraceus,9201954,
438,Sorbus aria,9201958,
439,Sorbus aucuparia,9201960,
440,Sorbus torminalis,9201977,
441,Sparganium erectum,9201981,
442,Stachys officinalis,920237,
443,Stachys palustris,9202003,
444,Stachys sylvatica,9202005,
445,Stellaria graminea,9202009,
446,Stellaria holostea,9202010,
447,Stellaria media,9202012,
448,Stellaria nemorum,9202014,
449,Stellaria uliginosa,9202007,
450,Succisa pratensis,9202021,
451,Symphoricarpus sp.,200001587,
452,Symphytum sp.,9205273,
453,Tamus communis,9202032,w
454,Tanacetum parthenium,920503,w
455,Tanacetum vulgare,9202033,
456,Taraxacum agg.,9202034,
457,Taxus baccata,9202039,
458,Teucrium scorodonia,9202046,
459,Thuja plicata,9202403,
460,Thymus polytrichus,9202060,
461,Torilis japonica,9202069,
462,Trichophorum cespitosum,9201858,
463,Trientalis europaea,9202076,
464,Trifolium dubium,9202081,
465,Trifolium pratense,9202091,
466,Trifolium repens,9202092,
467,Triglochin palustre,9202102,
468,Trisetum flavescens,9202105,
469,Triticum aestivum,9204367,
470,Trollius europaeus,9202106,
471,Tussilago farfara,9202109,
472,Ulex sp.,200001670,
473,Ulmus glabra,9202119,
474,Ulmus procera,9202122,
475,Umbilicus rupestris,9202125,
476,Urtica dioica,9202126,
477,Vaccinium myrtillus,9202136,
478,Vaccinium oxycoccos,9201419,
479,Vaccinium vitis-idaea,9202138,w
480,Valeriana officinalis,9202140,
481,Veronica agrestis,9202161,
482,Veronica anagallis-aquatica,9202163,
483,Veronica beccabunga,9202166,
484,Veronica chamaedrys,9202168,
485,Veronica montana,9202172,
486,Veronica officinalis,9202173,
487,Veronica scutellata,9202179,
488,Veronica serpyllifolia,9202180,w
489,Veronica serpyllifolia subsp.humifusa,9202180,
490,Viburnum lantana,9202184,
491,Viburnum opulus,9202185,
492,Vicia cracca,9202189,
493,Vicia hirsuta,9202191,
494,Vicia sativa,9202516,
495,Vicia sepium,9202198,
496,Vicia sylvatica,9202199,
497,Viola hirta,9202210,
498,Viola odorata,9202214,
499,Viola palustris,9202215,
500,Viola riviniana/reichenbiana,200001595,
501,Viola tricolor,9202220,
502,Viola tricolor subsp.curtisii,9202220,
503,Vulpia bromoides,9202226,
504,Wahlenbergia hederacea,9202230,
505,,0,
506,,920331,
507,,,
