,SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names,Woody
214,72,10,9204446,6,2,2,Quercus seedling/sp,w
215,72,10,9204446,7,4,2,Quercus seedling/sp,w
216,72,10,9204446,9,1,2,Quercus seedling/sp,w
217,72,11,9204445,3,2,2,Betula seedling/sp,w
218,72,11,9204445,4,1,2,Betula seedling/sp,w
219,72,11,9204445,5,1,2,Betula seedling/sp,w
220,72,11,9204446,8,3,2,Quercus seedling/sp,w
221,72,11,9204446,9,1,2,Quercus seedling/sp,w
222,72,12,9204446,4,2,2,Quercus seedling/sp,w
223,72,12,9204446,5,4,2,Quercus seedling/sp,w
224,72,12,9204446,6,3,2,Quercus seedling/sp,w
225,72,12,9204446,7,1,2,Quercus seedling/sp,w
226,72,12,9204445,7,2,2,Betula seedling/sp,w
227,72,13,9204446,6,1,2,Quercus seedling/sp,w
228,72,13,9204446,7,1,2,Quercus seedling/sp,w
229,72,13,9204446,9,1,2,Quercus seedling/sp,w
230,72,14,920557,1,4,2,Corylus avellana,w
231,72,14,920810,2,1,2,Fagus sylvatica,w
232,72,14,920569,2,2,2,Crataegus monogyna,w
233,72,14,920557,2,14,2,Corylus avellana,w
234,72,14,920557,3,2,2,Corylus avellana,w
235,72,14,920569,4,1,2,Crataegus monogyna,w
236,72,14,920810,7,1,2,Fagus sylvatica,w
237,72,14,9204445,7,1,2,Betula seedling/sp,w
238,72,14,9204446,8,1,2,Quercus seedling/sp,w
239,72,14,920810,14,1,2,Fagus sylvatica,w
240,72,15,9204446,2,1,2,Quercus seedling/sp,w
241,72,15,9204446,3,2,2,Quercus seedling/sp,w
242,72,15,9204446,4,3,2,Quercus seedling/sp,w
243,72,15,9204446,5,1,2,Quercus seedling/sp,w
244,72,15,9204446,6,1,2,Quercus seedling/sp,w
245,72,16,9204445,9,1,2,Betula seedling/sp,w
246,72,16,9204445,10,1,2,Betula seedling/sp,w
247,73,1,9204446,3,1,2,Quercus seedling/sp,w
248,73,1,9204446,6,1,2,Quercus seedling/sp,w
249,73,1,9204446,8,1,2,Quercus seedling/sp,w
250,73,1,9204446,11,1,2,Quercus seedling/sp,w
251,73,1,9204446,14,1,2,Quercus seedling/sp,w
252,73,2,9201470,5,1,2,Picea abies,w
253,73,2,9204407,5,1,2,Nothofagus nervosa,w
254,73,2,9204407,6,1,2,Nothofagus nervosa,w
255,73,2,9204407,7,2,2,Nothofagus nervosa,w
256,73,2,9204407,10,1,2,Nothofagus nervosa,w
257,73,3,9204446,6,2,2,Quercus seedling/sp,w
258,73,3,9204546,11,1,2,Pinus sp./seedling,w
259,73,4,9201616,1,14,2,Prunus padus,w
260,73,4,9201616,3,2,2,Prunus padus,w
261,73,4,9201616,4,2,2,Prunus padus,w
262,73,4,92077,8,1,2,Alnus glutinosa,w
263,73,4,92077,10,1,2,Alnus glutinosa,w
264,73,5,920810,1,2,2,Fagus sylvatica,w
265,73,5,9204445,1,2,2,Betula seedling/sp,w
266,73,5,9204446,1,2,2,Quercus seedling/sp,w
267,73,5,920557,1,24,2,Corylus avellana,w
268,73,5,9201611,2,1,2,Prunus avium,w
269,73,5,9201616,2,2,2,Prunus padus,w
270,73,5,9201023,3,1,2,Ilex aquifolium,w
271,73,5,9204446,4,1,2,Quercus seedling/sp,w
272,73,5,9204446,5,1,2,Quercus seedling/sp,w
273,73,5,9204446,7,1,2,Quercus seedling/sp,w
274,73,5,9204446,9,1,2,Quercus seedling/sp,w
275,73,5,9204446,12,1,2,Quercus seedling/sp,w
276,73,6,9204446,8,2,2,Quercus seedling/sp,w
277,73,6,9204446,10,1,2,Quercus seedling/sp,w
278,73,7,9204445,2,1,2,Betula seedling/sp,w
279,73,7,920810,5,1,2,Fagus sylvatica,w
280,73,7,9204445,5,1,2,Betula seedling/sp,w
281,73,7,9204445,7,1,2,Betula seedling/sp,w
282,73,7,9204446,7,1,2,Quercus seedling/sp,w
283,73,7,9204546,7,1,2,Pinus sp./seedling,w
284,73,7,920810,8,1,2,Fagus sylvatica,w
285,73,8,9204546,4,2,2,Pinus sp./seedling,w
286,73,8,9204446,5,2,2,Quercus seedling/sp,w
287,73,8,9204546,5,2,2,Pinus sp./seedling,w
288,73,8,9204546,6,2,2,Pinus sp./seedling,w
289,73,8,9204546,7,1,2,Pinus sp./seedling,w
290,73,10,9204446,1,2,2,Quercus seedling/sp,w
291,73,10,9204445,1,4,2,Betula seedling/sp,w
292,73,10,9201788,1,48,2,Salix caprea,w
293,73,11,920557,1,2,2,Corylus avellana,w
294,73,11,9204446,4,1,2,Quercus seedling/sp,w
295,73,11,9204446,5,1,2,Quercus seedling/sp,w
296,73,11,9204446,6,1,2,Quercus seedling/sp,w
297,73,11,9204446,9,1,2,Quercus seedling/sp,w
298,73,12,9204446,5,2,2,Quercus seedling/sp,w
299,73,12,9204446,7,1,2,Quercus seedling/sp,w
300,73,12,9204446,8,1,2,Quercus seedling/sp,w
301,73,13,9204446,5,2,2,Quercus seedling/sp,w
302,73,13,9204446,6,3,2,Quercus seedling/sp,w
303,73,13,9204446,7,1,2,Quercus seedling/sp,w
304,73,14,9204446,5,2,2,Quercus seedling/sp,w
305,73,14,9204446,6,4,2,Quercus seedling/sp,w
306,73,15,9204446,2,1,2,Quercus seedling/sp,w
307,73,15,9204446,5,1,2,Quercus seedling/sp,w
308,73,15,9204446,6,1,2,Quercus seedling/sp,w
309,73,15,9204446,7,2,2,Quercus seedling/sp,w
310,73,16,9204446,4,1,2,Quercus seedling/sp,w
311,73,16,9204446,5,1,2,Quercus seedling/sp,w
312,73,16,9204445,5,2,2,Betula seedling/sp,w
313,73,16,9204445,6,1,2,Betula seedling/sp,w
314,73,16,9204446,6,1,2,Quercus seedling/sp,w
315,73,16,9204445,7,1,2,Betula seedling/sp,w
316,95,1,9205,1,54,2,Acer pseudoplatanus,w
317,95,1,9205,2,1,2,Acer pseudoplatanus,w
318,95,1,9204446,2,1,2,Quercus seedling/sp,w
319,95,1,9204445,2,2,2,Betula seedling/sp,w
320,95,1,9205,3,1,2,Acer pseudoplatanus,w
321,95,1,9204445,3,4,2,Betula seedling/sp,w
322,95,1,9204445,4,2,2,Betula seedling/sp,w
323,95,1,9204442,5,1,2,Larix sp.,w
324,95,1,9204442,6,1,2,Larix sp.,w
325,95,2,920569,1,2,2,Crataegus monogyna,w
326,95,2,920841,1,2,2,Fraxinus excelsior (c),w
327,95,2,9201960,1,2,2,Sorbus aucuparia,w
328,95,2,9204446,1,2,2,Quercus seedling/sp,w
329,95,2,9201023,1,5,2,Ilex aquifolium,w
330,95,2,920841,1,6,2,Fraxinus excelsior (c),w
331,95,2,9201960,1,9,2,Sorbus aucuparia,w
332,95,2,9205,1,11,2,Acer pseudoplatanus,w
333,95,2,9201023,1,24,2,Ilex aquifolium,w
334,95,2,9205,2,1,2,Acer pseudoplatanus,w
335,95,2,920569,2,1,2,Crataegus monogyna,w
336,95,2,920810,2,1,2,Fagus sylvatica,w
337,95,2,920841,2,1,2,Fraxinus excelsior (c),w
338,95,2,9204446,2,1,2,Quercus seedling/sp,w
339,95,2,9201960,2,3,2,Sorbus aucuparia,w
340,95,2,9201023,2,4,2,Ilex aquifolium,w
341,95,2,9204445,2,8,2,Betula seedling/sp,w
342,95,2,9205,3,1,2,Acer pseudoplatanus,w
343,95,2,920841,3,1,2,Fraxinus excelsior (c),w
344,95,2,9201960,3,1,2,Sorbus aucuparia,w
345,95,2,9204445,3,7,2,Betula seedling/sp,w
346,95,2,9205,4,1,2,Acer pseudoplatanus,w
347,95,2,9204445,4,2,2,Betula seedling/sp,w
348,95,3,9201815,1,2,2,Sambucus nigra,w
349,95,3,9204446,1,2,2,Quercus seedling/sp,w
350,95,3,9201960,2,1,2,Sorbus aucuparia,w
351,95,3,9205,2,3,2,Acer pseudoplatanus,w
352,95,3,9201815,2,4,2,Sambucus nigra,w
353,95,3,9204446,2,4,2,Quercus seedling/sp,w
354,95,3,9204445,2,6,2,Betula seedling/sp,w
355,95,3,9205,3,2,2,Acer pseudoplatanus,w
356,95,3,9204445,3,3,2,Betula seedling/sp,w
357,95,3,9204446,3,4,2,Quercus seedling/sp,w
358,95,3,9201614,4,2,2,Prunus domestica,w
359,95,3,9204445,4,3,2,Betula seedling/sp,w
360,95,3,9204442,5,1,2,Larix sp.,w
361,95,3,9205,5,2,2,Acer pseudoplatanus,w
362,95,4,9204446,2,1,2,Quercus seedling/sp,w
363,95,4,9204445,2,13,2,Betula seedling/sp,w
364,95,4,9205,2,14,2,Acer pseudoplatanus,w
365,95,4,9205,3,1,2,Acer pseudoplatanus,w
366,95,4,9204445,3,8,2,Betula seedling/sp,w
367,95,4,9205,4,1,2,Acer pseudoplatanus,w
368,95,4,9204445,4,1,2,Betula seedling/sp,w
369,95,4,9204442,5,1,2,Larix sp.,w
370,95,5,9201960,1,6,2,Sorbus aucuparia,w
371,95,5,9205,1,62,2,Acer pseudoplatanus,w
372,95,5,9204445,2,3,2,Betula seedling/sp,w
373,95,5,9205,3,1,2,Acer pseudoplatanus,w
374,95,5,9204445,3,5,2,Betula seedling/sp,w
375,95,5,9204442,5,1,2,Larix sp.,w
376,95,6,9201960,1,1,2,Sorbus aucuparia,w
377,95,6,9205,1,2,2,Acer pseudoplatanus,w
378,95,6,9201960,1,2,2,Sorbus aucuparia,w
379,95,6,9204445,1,6,2,Betula seedling/sp,w
380,95,6,920557,1,96,2,Corylus avellana,w
381,95,6,920810,2,1,2,Fagus sylvatica,w
382,95,6,9204446,2,1,2,Quercus seedling/sp,w
383,95,6,9201960,2,2,2,Sorbus aucuparia,w
384,95,6,9205,2,6,2,Acer pseudoplatanus,w
385,95,6,920557,2,6,2,Corylus avellana,w
386,95,6,9204445,2,12,2,Betula seedling/sp,w
387,95,6,9205,3,1,2,Acer pseudoplatanus,w
388,95,6,9204445,3,11,2,Betula seedling/sp,w
389,95,6,9204442,4,1,2,Larix sp.,w
390,95,6,9204445,4,2,2,Betula seedling/sp,w
391,95,6,9204442,5,1,2,Larix sp.,w
392,95,7,9201960,1,1,2,Sorbus aucuparia,w
393,95,7,920810,1,2,2,Fagus sylvatica,w
394,95,7,9201960,1,2,2,Sorbus aucuparia,w
395,95,7,9204446,1,10,2,Quercus seedling/sp,w
396,95,7,9205,1,17,2,Acer pseudoplatanus,w
397,95,7,920557,1,30,2,Corylus avellana,w
398,95,7,9201023,1,84,2,Ilex aquifolium,w
399,95,7,9201023,2,1,2,Ilex aquifolium,w
400,95,7,9204445,2,1,2,Betula seedling/sp,w
401,95,7,920557,2,2,2,Corylus avellana,w
402,95,7,920810,2,2,2,Fagus sylvatica,w
403,95,7,9201960,2,2,2,Sorbus aucuparia,w
404,95,7,9201023,2,4,2,Ilex aquifolium,w
405,95,7,9204446,2,6,2,Quercus seedling/sp,w
406,95,7,9205,2,10,2,Acer pseudoplatanus,w
407,95,7,9205,3,1,2,Acer pseudoplatanus,w
408,95,7,9201960,3,1,2,Sorbus aucuparia,w
409,95,7,9204445,3,1,2,Betula seedling/sp,w
410,95,7,9201960,4,1,2,Sorbus aucuparia,w
411,95,7,9205,9,1,2,Acer pseudoplatanus,w
412,95,7,9204446,9,1,2,Quercus seedling/sp,w
413,95,7,9204446,11,1,2,Quercus seedling/sp,w
414,95,8,9204445,1,1,2,Betula seedling/sp,w
415,95,8,9205,1,2,2,Acer pseudoplatanus,w
416,95,8,9204445,1,6,2,Betula seedling/sp,w
417,95,8,920810,1,10,2,Fagus sylvatica,w
418,95,8,920557,1,118,2,Corylus avellana,w
419,95,8,9204442,2,1,2,Larix sp.,w
420,95,8,9205,2,5,2,Acer pseudoplatanus,w
421,95,8,9204445,2,9,2,Betula seedling/sp,w
422,95,8,9205,3,2,2,Acer pseudoplatanus,w
423,95,8,9204445,3,2,2,Betula seedling/sp,w
424,95,8,9204442,4,3,2,Larix sp.,w
425,95,8,9204442,5,1,2,Larix sp.,w
426,95,8,9204442,6,2,2,Larix sp.,w
427,95,9,9205,1,2,2,Acer pseudoplatanus,w
428,95,9,920569,1,2,2,Crataegus monogyna,w
