species,status
Eremogone lychnidea,non-mycorrhizal (checked for all types)
Argusia sogdiana,non-mycorrhizal (checked for all types)
Aristida virgata,AM
Armeria maritima,AM
Arnebia decumbens,AM
Nonea echioides,AM
Nonea echioides,AM
Nonea echioides,AM
Nonea echioides,AM
Nonea echioides,AM
Nonea echioides,non-mycorrhizal (checked for all types)
Arnica angustifolia,AM
Arnica montana,AM
Arrhenatherum elatius,AM
Artemisia absinthium,AM
Artemisia absinthium,AM
Artemisia absinthium,AM
Artemisia aralensis,AM
Artemisia campestris subinodora,AM
Artemisia campestris subinodora,AM
Artemisia campestris subinodora,AM
Artemisia armeniaca,AM
Artemisia campestris var. borealis,AM
Artemisia alpina,AM
Artemisia cina,AM
Artemisia cina,AM
Artemisia dracunculus,AM
Artemisia dracunculus,AM
Turaniphytum eranthemum,AM
Turaniphytum eranthemum,non-mycorrhizal (checked for all types)
Artemisia ferganensis,AM
Artemisia frigida,AM
Artemisia glauca,AM
Artemisia glauca,AM
Artemisia glauca,AM
Artemisia latifolia,AM
Artemisia latifolia,AM
Artemisia latifolia,AM
Artemisia latifolia,AM
Artemisia leucodes,AM
Artemisia maritima,AM
Artemisia maritima,AM
Artemisia campestris subinodora,AM
Artemisia campestris subinodora,AM
Artemisia nitrosa,AM
Artemisia pauciflora,AM
Artemisia pauciflora,AM
Artemisia pauciflora,AM
Artemisia pontica,AM
Artemisia pontica,AM
Artemisia pontica,AM
Artemisia pontica,AM
Artemisia pontica,AM
Artemisia pontica,AM
Artemisia campestris subvariabilis,AM
Artemisia quinqueloba,AM
Artemisia rupestris,AM
Artemisia rupestris,AM
Artemisia rupestris,AM
Artemisia rupestris,AM
Artemisia scoparia,AM
Artemisia sericea,AM
Artemisia sericea,AM
Artemisia songarica,AM
Artemisia songarica,AM
Artemisia tilesii,AM
Artemisia tomentella,AM
Artemisia tomentella,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia transiliensis,AM
Artemisia turanica,AM
Artemisia turanica,AM
Artemisia turanica,AM
Artemisia turanica,AM
Artemisia turanica,non-mycorrhizal (checked for all types)
Artemisia vulgaris,AM
Artemisia vulgaris,AM
Artemisia vulgaris,AM
Artemisia vulgaris,AM
Arthraxon hispidus,AM
Arthrophytum pulvinatum,non-mycorrhizal (checked for all types)
Arundinella hirta,AM
Arundo donax,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asarum europaeum,AM
Asparagus breslerianus,AM
Asparagus inderiensis,AM
Asparagus officinalis,AM
Asparagus officinalis,AM
Asparagus officinalis,AM
Asparagus officinalis,AM
Asparagus setaceus,AM
Asparagus setaceus,AM
Asparagus aethiopicus,AM
Asparagus aethiopicus,AM
Asperugo procumbens,AM
Asperugo procumbens,non-mycorrhizal (checked for all types)
Asperugo procumbens,non-mycorrhizal (checked for all types)
Asperula prostrata,non-mycorrhizal (checked for all types)
Asperula prostrata,non-mycorrhizal (checked for all types)
Asperula danilewskiana,non-mycorrhizal (checked for all types)
Aspidistra elatior,AM
Asplenium ruta-muraria,AM
