site,plot,BRC,DBH_class,Count,Yr,species,ms,flag,dbhcounts
73,5,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
73,5,9204446.0,9,1,2,Quercus seedling/sp,em,0,9
73,5,9204446.0,12,1,2,Quercus seedling/sp,em,0,12
73,6,9204446.0,8,2,2,Quercus seedling/sp,em,0,16
73,6,9204446.0,10,1,2,Quercus seedling/sp,em,0,10
73,7,9204445.0,2,1,2,Betula seedling/sp,em,0,2
73,7,920810.0,5,1,2,Fagus sylvatica,em,0,5
73,7,9204445.0,5,1,2,Betula seedling/sp,em,0,5
73,7,9204445.0,7,1,2,Betula seedling/sp,em,0,7
73,7,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
73,7,9204546.0,7,1,2,Pinus sp./seedling,em,0,7
73,7,920810.0,8,1,2,Fagus sylvatica,em,0,8
73,8,9204546.0,4,2,2,Pinus sp./seedling,em,0,8
73,8,9204446.0,5,2,2,Quercus seedling/sp,em,0,10
73,8,9204546.0,5,2,2,Pinus sp./seedling,em,0,10
73,8,9204546.0,6,2,2,Pinus sp./seedling,em,0,12
73,8,9204546.0,7,1,2,Pinus sp./seedling,em,0,7
73,10,9204446.0,1,2,2,Quercus seedling/sp,em,0,2
73,10,9204445.0,1,4,2,Betula seedling/sp,em,0,4
73,10,9201788.0,1,48,2,Salix caprea,em,0,48
73,11,920557.0,1,2,2,Corylus avellana,em,0,2
73,11,9204446.0,4,1,2,Quercus seedling/sp,em,0,4
73,11,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
73,11,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
73,11,9204446.0,9,1,2,Quercus seedling/sp,em,0,9
73,12,9204446.0,5,2,2,Quercus seedling/sp,em,0,10
73,12,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
73,12,9204446.0,8,1,2,Quercus seedling/sp,em,0,8
73,13,9204446.0,5,2,2,Quercus seedling/sp,em,0,10
73,13,9204446.0,6,3,2,Quercus seedling/sp,em,0,18
73,13,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
73,14,9204446.0,5,2,2,Quercus seedling/sp,em,0,10
73,14,9204446.0,6,4,2,Quercus seedling/sp,em,0,24
73,15,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
73,15,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
73,15,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
73,15,9204446.0,7,2,2,Quercus seedling/sp,em,0,14
73,16,9204446.0,4,1,2,Quercus seedling/sp,em,0,4
73,16,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
73,16,9204445.0,5,2,2,Betula seedling/sp,em,0,10
73,16,9204445.0,6,1,2,Betula seedling/sp,em,0,6
73,16,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
73,16,9204445.0,7,1,2,Betula seedling/sp,em,0,7
95,1,9205.0,1,54,2,Acer pseudoplatanus,am,0,54
95,1,9205.0,2,1,2,Acer pseudoplatanus,am,0,2
95,1,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
95,1,9204445.0,2,2,2,Betula seedling/sp,em,0,4
95,1,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
95,1,9204445.0,3,4,2,Betula seedling/sp,em,0,12
95,1,9204445.0,4,2,2,Betula seedling/sp,em,0,8
95,1,9204442.0,5,1,2,Larix sp.,em,0,5
95,1,9204442.0,6,1,2,Larix sp.,em,0,6
95,2,920569.0,1,2,2,Crataegus monogyna,em,0,2
95,2,920841.0,1,2,2,Fraxinus excelsior (c),am,0,2
95,2,9201960.0,1,2,2,Sorbus aucuparia,am,0,2
95,2,9204446.0,1,2,2,Quercus seedling/sp,em,0,2
95,2,9201023.0,1,5,2,Ilex aquifolium,am,1,5
95,2,920841.0,1,6,2,Fraxinus excelsior (c),am,0,6
95,2,9201960.0,1,9,2,Sorbus aucuparia,am,0,9
95,2,9205.0,1,11,2,Acer pseudoplatanus,am,0,11
95,2,9201023.0,1,24,2,Ilex aquifolium,am,1,24
95,2,9205.0,2,1,2,Acer pseudoplatanus,am,0,2
95,2,920569.0,2,1,2,Crataegus monogyna,em,0,2
95,2,920810.0,2,1,2,Fagus sylvatica,em,0,2
95,2,920841.0,2,1,2,Fraxinus excelsior (c),am,0,2
95,2,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
95,2,9201960.0,2,3,2,Sorbus aucuparia,am,0,6
95,2,9201023.0,2,4,2,Ilex aquifolium,am,1,8
95,2,9204445.0,2,8,2,Betula seedling/sp,em,0,16
95,2,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
95,2,920841.0,3,1,2,Fraxinus excelsior (c),am,0,3
95,2,9201960.0,3,1,2,Sorbus aucuparia,am,0,3
95,2,9204445.0,3,7,2,Betula seedling/sp,em,0,21
95,2,9205.0,4,1,2,Acer pseudoplatanus,am,0,4
95,2,9204445.0,4,2,2,Betula seedling/sp,em,0,8
95,3,9201815.0,1,2,2,Sambucus nigra,u,1,2
95,3,9204446.0,1,2,2,Quercus seedling/sp,em,0,2
95,3,9201960.0,2,1,2,Sorbus aucuparia,am,0,2
95,3,9205.0,2,3,2,Acer pseudoplatanus,am,0,6
95,3,9201815.0,2,4,2,Sambucus nigra,u,1,8
95,3,9204446.0,2,4,2,Quercus seedling/sp,em,0,8
95,3,9204445.0,2,6,2,Betula seedling/sp,em,0,12
95,3,9205.0,3,2,2,Acer pseudoplatanus,am,0,6
95,3,9204445.0,3,3,2,Betula seedling/sp,em,0,9
95,3,9204446.0,3,4,2,Quercus seedling/sp,em,0,12
95,3,9201614.0,4,2,2,Prunus domestica,am,0,8
95,3,9204445.0,4,3,2,Betula seedling/sp,em,0,12
95,3,9204442.0,5,1,2,Larix sp.,em,0,5
95,3,9205.0,5,2,2,Acer pseudoplatanus,am,0,10
95,4,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
95,4,9204445.0,2,13,2,Betula seedling/sp,em,0,26
95,4,9205.0,2,14,2,Acer pseudoplatanus,am,0,28
95,4,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
95,4,9204445.0,3,8,2,Betula seedling/sp,em,0,24
95,4,9205.0,4,1,2,Acer pseudoplatanus,am,0,4
95,4,9204445.0,4,1,2,Betula seedling/sp,em,0,4
95,4,9204442.0,5,1,2,Larix sp.,em,0,5
95,5,9201960.0,1,6,2,Sorbus aucuparia,am,0,6
95,5,9205.0,1,62,2,Acer pseudoplatanus,am,0,62
95,5,9204445.0,2,3,2,Betula seedling/sp,em,0,6
95,5,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
95,5,9204445.0,3,5,2,Betula seedling/sp,em,0,15
95,5,9204442.0,5,1,2,Larix sp.,em,0,5
95,6,9201960.0,1,1,2,Sorbus aucuparia,am,0,1
95,6,9205.0,1,2,2,Acer pseudoplatanus,am,0,2
95,6,9201960.0,1,2,2,Sorbus aucuparia,am,0,2
95,6,9204445.0,1,6,2,Betula seedling/sp,em,0,6
95,6,920557.0,1,96,2,Corylus avellana,em,0,96
95,6,920810.0,2,1,2,Fagus sylvatica,em,0,2
95,6,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
95,6,9201960.0,2,2,2,Sorbus aucuparia,am,0,4
95,6,9205.0,2,6,2,Acer pseudoplatanus,am,0,12
95,6,920557.0,2,6,2,Corylus avellana,em,0,12
95,6,9204445.0,2,12,2,Betula seedling/sp,em,0,24
95,6,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
95,6,9204445.0,3,11,2,Betula seedling/sp,em,0,33
95,6,9204442.0,4,1,2,Larix sp.,em,0,4
95,6,9204445.0,4,2,2,Betula seedling/sp,em,0,8
