SITE,PLOT,pH1971,pH resurvey
59,10,4.8,5.02
75,15,4.8,5.045
23,13,4.7,5.1
17,9,4.7,5.129
58,15,4.7,5.135
83,11,4.7,5.144
11,16,4.6,5.2
71,4,4.6,5.2
68,7,4.5,5.258
99,15,4.5,5.3
25,13,4.5,5.3
44,12,4.4,5.386
42,14,4.4,5.429
99,4,4.1,5.7
59,14,5.3,4.625
70,13,5.1,4.815
38,1,5.1,4.823
50,4,5.1,4.829
68,6,4.8,5.091
23,15,4.8,5.1
45,7,4.8,5.13
66,16,4.6,5.282
39,8,4.3,5.554
23,3,4.3,5.6
29,9,4.3,5.6
82,5,5.4,4.5
59,11,5.2,4.653
36,5,5.2,4.699
36,13,5,4.894
69,5,5,4.932
6,13,4.9,5
18,14,4.9,5.019
26,15,4.5,5.387
98,2,4.5,5.4
62,13,4.5,5.435
66,6,4.5,5.443
62,3,4.4,5.531
83,9,4.2,5.675
58,13,4.2,5.681
80,2,6,4
75,11,5.9,4.069
100,8,5.3,4.7
87,5,5.3,4.706
92,2,5.2,4.78
74,6,5.1,4.9
59,13,5,4.957
36,12,4.9,5.071
23,2,4.9,5.1
83,10,4.8,5.183
38,4,4.7,5.272
83,14,4.7,5.28
101,6,4.7,5.293
67,4,4.7,5.311
40,8,4.7,5.346
97,2,4.6,5.356
6,15,4.5,5.5
92,6,4.5,5.547
17,7,4.4,5.635
36,7,4.3,5.698
29,13,4.3,5.7
44,14,3.4,6.621
37,9,5.5,4.618
81,13,5.1,5
2,1,5.1,5
18,15,5.1,5.014
11,10,5,5.1
6,12,5,5.1
83,2,5,5.101
81,15,5,5.122
75,10,5,5.131
101,13,4.8,5.277
42,9,4.8,5.299
1,9,4.8,5.3
58,1,4.8,5.302
90,1,4.8,5.311
68,8,4.8,5.333
39,7,4.6,5.496
41,10,4.6,5.533
39,1,3.9,6.211
57,16,5.4,4.676
3,9,5.2,4.877
66,8,5.2,4.893
43,16,4.9,5.183
57,14,4.9,5.203
59,3,4.7,5.38
6,14,4.7,5.4
21,13,4.7,5.4
47,2,4.4,5.727
57,9,4.2,5.857
44,3,4.2,5.878
53,11,6.2,4
1,14,6.1,4.1
26,16,5.9,4.285
93,12,5.6,4.606
33,3,5.5,4.7
41,15,5.5,4.732
66,12,5.5,4.743
66,5,5.4,4.804
41,12,5.3,4.918
71,10,5.2,5
47,9,5.1,5.136
18,16,5,5.155
15,9,5,5.223
38,8,4.9,5.295
80,9,4.9,5.3
46,13,4.9,5.301
93,13,4.8,5.355
3,5,4.8,5.397
8,7,4.8,5.4
23,10,4.8,5.4
15,13,4.7,5.453
6,10,4.7,5.5
75,4,4.7,5.526
15,10,4.5,5.72
50,5,4.4,5.78
