BRC,BRC names
920627,Deschampsia cespitosa
920618,Daphne mezereum
920617,Daphne laureola
9201915,Danthonia decumbens
9204528,Dactylorhiza sp.
920613,Dactylorhiza purpurella
920607,Dactylis glomerata
9201822,Cytisus scoparius
920597,Cynosurus cristatus
920596,Cynoglossum officinale
920592,Cymbalaria muralis
9204842,Cupressus sp.
820166,Ctenidium molluscum
910586,Cryptogramma crispa
920875,Cruciata laevipes
920578,Crepis vesicaria
9204527,Crepis sp.
920576,Crepis paludosa
920572,Crepis capillaris
9204837,Crataegus sp.
920569,Crataegus monogyna
920570,Crataegus laevigata
9204526,Cotoneaster sp.
920562,Cotoneaster integrifolius
920557,Corylus avellana
9204831,Corydalis sp.
920548,Cornus sanguinea
920547,Cornus alba
920544,Convolvulus arvensis
920543,Convallaria majalis
920541,Conopodium majus
920538,Colchicum autumnale
920534,Cochlearia micacea
920530,Clinopodium vulgare
820158,Climacium dendroides
920528,Clematis vitalba
920524,Claytonia sibirica
920525,Claytonia perfoliata
5505253,Cladonia squamules/sp
5502919,Cladonia squamosa
5505962,Cladonia sp.
5502912,Cladonia pyxidata
5502874,Cladonia coniocraea
5505338,Cladonia cf.coccifera
920522,Cirsium vulgare
9204807,Cirsium sp.
920520,Cirsium palustre
920518,Cirsium heterophyllum
920515,Cirsium arvense
820157,Cirriphyllum piliferum
920513,Circaea lutetiana
920510,Cicuta virosa
920506,Chrysosplenium oppositifolium
920505,Chrysosplenium alternifolium
200001582,Chenopodium album/polyspermum
920481,Chenopodium album agg.
920477,Chamerion angustifolium
920119,Chamaemelum nobile
920476,Chaerophyllum temulum
920471,Ceratophyllum demersum
920555,Ceratocapnos claviculata
9204524,Cerastium sp.
920466,Cerastium glomeratum
920467,Cerastium fontanum
920458,Cephalanthera longifolia
920457,Cephalanthera damasonium
920455,Centranthus ruber
9205486,Centaurium erythraea
920444,Centaurea nigra
920435,Catapodium rigidum
920432,Castanea sativa
920431,Carum verticillatum
920428,Carpinus betulus
920427,Carlina vulgaris
9207118,Carex viridula subsp.viridula
920361,Carex viridula subsp.oedocarpa
9207117,Carex viridula
920424,Carex vesicaria
920423,Carex vaginata
920421,Carex sylvatica
920420,Carex strigosa
9204583,Carex seedling/sp
920414,Carex rostrata
920413,Carex riparia
920412,Carex remota
2000087,Carex pulicaris/serotina
920408,Carex pulicaris
920407,Carex pseudocyperus
920405,Carex pilulifera
920404,Carex pendula
920401,Carex paniculata
920400,Carex panicea
920399,Carex pallescens
920397,Carex ovalis
920393,Carex nigra
920385,Carex laevigata
920381,Carex hirta
920376,Carex flacca
920370,Carex echinata
920366,Carex distans
920364,Carex digitata
920359,Carex curta
920355,Carex caryophyllea
920350,Carex binervis
920340,Carex acuta
920335,Carduus crispus
920331,Cardamine pratensis
2000070,Cardamine hirsuta/flexuosa
920328,Cardamine flexuosa
920327,Cardamine amara
920325,Capsella bursa-pastoris
8201110,Campylopus sp.
820141,Campylopus introflexus
920323,Campanula trachelium
920322,Campanula rotundifolia
920316,Campanula latifolia
920315,Campanula glomerata
920311,Calystegia sepium
8101275,Calypogeia sp.
810706,Calypogeia fissa
920310,Caltha palustris
920309,Calluna vulgaris
920307,Callitriche stagnalis sens.lat.
9202249,Callitriche seedling/sp
20000861,Calliergon sp
8204,Calliergon cuspidatum
920293,Calamagrostis epigejos
8201106,Bryum sp.
2500,Bryophyte sp.
920276,Bryonia dioica
9204752,Bromus sp.
920271,Bromus racemosus
920269,Bromus hordeaceus
920272,Bromopsis ramosa
920263,Bromopsis erecta
920259,Bromopsis benekenii
920256,Briza media
920254,Brassica rapa
8201103,Brachythecium sp.
82080,Brachythecium rivulare
920250,Brachypodium sylvaticum
910244,Blechnum spicant
9204445,Betula seedling/sp
920240,Betula pubescens
920239,Betula pendula
920231,Bellis perennis
810701,Bazzania tricrenata
8201098,Barbula sp.
200001691,Azalea spp.
9202988,Avena sativa
82042,Aulacomnium palustre
82041,Aulacomnium androgynum
920219,Atropa belladonna
920218,Atriplex patula
82039,Atrichum tenellum
200001537,Atrichum sp.
910211,Athyrium filix-femina
910210,Athyrium distentifolium
920204,Aster tripolium
920200,Aster novae-angliae
920203,Aster lanceolatus x novi-belgii (A. x salignus)
910194,Asplenium trichomanes
9104623,Asplenium sp.
910185,Asplenium sp 
910192,Asplenium ruta-muraria
920176,Arum maculatum
920175,Artemisia vulgaris
920169,Arrhenatherum elatius
920160,Arenaria norvegica subsp.norvegica
920158,Arenaria ciliata
920155,Arctostaphylos uva-ursi
920150,Arctium agg.
920149,Arbutus unedo
920147,Arabis scabra
920146,Arabis hirsuta
920142,Arabidopsis thaliana
920141,Aquilegia vulgaris
920137,Apium nodiflorum
920134,Apium graveolens
920133,Aphanes inexspectata
920131,Aphanes arvensis agg.
920125,Anthriscus sylvestris
920121,Anthoxanthum odoratum
920122,Anthoxanthum aristatum
920113,Anisantha sterilis
920109,Angelica sylvestris
920108,Angelica archangelica
920105,Anemone nemorosa
9201218,Anchusa arvensis
920101,Anaphalis margaritacea
920100,Anagallis tenella
920456,Anagallis minima
92099,Anagallis arvensis
92098,Anacamptis pyramidalis
92087,Althaea officinalis
92085,Alopecurus pratensis
92084,Alopecurus myosuroides
92082,Alopecurus geniculatus
92081,Alopecurus bulbosus
92077,Alnus glutinosa
92075,Allium ursinum
92070,Allium roseum
92069,Allium paradoxum
9209184,Allium cepa
9208283,Allium ampeloprasum
92064,Alliaria petiolata
92063,Alisma plantago-aquatica
9204679,Alchemilla sp.
9202255,Alchemilla mollis
92051,Alchemilla glabra
92088,Alcea rosea
92046,Ajuga reptans
92042,Aira praecox
92039,Agrostis stolonifera
9204579,Agrostis sp.
92036,Agrostis gigantea
92038,Agrostis curtisii
92040,Agrostis capillaris
92035,Agrostis canina sens.lat.
92022,Agrimonia eupatoria
9202241,Aesculus hippocastanum
92020,Aegopodium podagraria
92019,Adoxa moschatellina
92016,Actaea spicata
92014,Aconitum napellus
9207,Achillea millefolium
9205,Acer pseudoplatanus
9204,Acer platanoides
9203,Acer campestre
9204658,Abies sp.
9202397,Abies procera
